...1,word1,word2,n,decade,x
2,christian,educator,15,pre1900,christian educator
3,richmond,va,12,pre1900,richmond va
4,colored,people,10,pre1900,colored people
5,white,women,8,pre1900,white women
6,broad,st,7,pre1900,broad st
7,grand,jury,7,pre1900,grand jury
8,human,nature,7,pre1900,human nature
9,colored,race,6,pre1900,colored race
10,lynch,law,5,pre1900,lynch law
11,ox,marrow,5,pre1900,ox marrow
12,st,richmond,5,pre1900,st richmond
13,va,sept,5,pre1900,va sept
14,50,cents,4,pre1900,50 cents
15,atlanta,ga,4,pre1900,atlanta ga
16,day,evening,4,pre1900,day evening
17,legally,qualified,4,pre1900,legally qualified
18,nights,ago,4,pre1900,nights ago
19,oct,25,4,pre1900,oct 25
20,ozonized,ox,4,pre1900,ozonized ox
21,public,opinion,4,pre1900,public opinion
22,qualified,voters,4,pre1900,qualified voters
23,van,wyck,4,pre1900,van wyck
24,white,people,4,pre1900,white people
25,25,cents,3,pre1900,25 cents
26,8,o'clock,3,pre1900,8 o'clock
27,baptist,church,3,pre1900,baptist church
28,byrdstreet,station,3,pre1900,byrdstreet station
29,civilized,world,3,pre1900,civilized world
30,colored,citizens,3,pre1900,colored citizens
31,fair,trial,3,pre1900,fair trial
32,free,address,3,pre1900,free address
33,governor,chamberlain,3,pre1900,governor chamberlain
34,human,life,3,pre1900,human life
35,largest,circulation,3,pre1900,largest circulation
36,mob,law,3,pre1900,mob law
37,national,policy,3,pre1900,national policy
38,negro,supremacy,3,pre1900,negro supremacy
39,negro's,accusers,3,pre1900,negro's accusers
40,oct,27,3,pre1900,oct 27
41,peoria,ill,3,pre1900,peoria ill
42,prefer,dissolution,3,pre1900,prefer dissolution
43,sept,16,3,pre1900,sept 16
44,sept,20,3,pre1900,sept 20
45,sept,21,3,pre1900,sept 21
46,south,carolina,3,pre1900,south carolina
47,southern,people,3,pre1900,southern people
48,special,notice,3,pre1900,special notice
49,st,louis,3,pre1900,st louis
50,ten,days,3,pre1900,ten days
51,trade,marks,3,pre1900,trade marks
52,white,girl,3,pre1900,white girl
53,white,population,3,pre1900,white population
54,18th,street,2,pre1900,18th street
55,361,broadway,2,pre1900,361 broadway
56,3rd,thursday,2,pre1900,3rd thursday
57,4th,monday,2,pre1900,4th monday
58,4th,tuesday,2,pre1900,4th tuesday
59,absolutely,safe,2,pre1900,absolutely safe
60,afro,american,2,pre1900,afro american
61,alex,crawford,2,pre1900,alex crawford
62,alleged,offense,2,pre1900,alleged offense
63,american,citizen,2,pre1900,american citizen
64,american,republic,2,pre1900,american republic
65,arrives,elba,2,pre1900,arrives elba
66,ascertain,free,2,pre1900,ascertain free
67,atrocious,crime,2,pre1900,atrocious crime
68,beautifully,illustrated,2,pre1900,beautifully illustrated
69,bishop,haygood,2,pre1900,bishop haygood
70,brought,forward,2,pre1900,brought forward
71,call,richmond,2,pre1900,call richmond
72,christian,nation,2,pre1900,christian nation
73,cigars,tobacco,2,pre1900,cigars tobacco
74,cleveland,steam,2,pre1900,cleveland steam
75,colored,man's,2,pre1900,colored man's
76,colored,rapist,2,pre1900,colored rapist
77,common,sense,2,pre1900,common sense
78,communications,strictly,2,pre1900,communications strictly
79,cordially,invited,2,pre1900,cordially invited
80,county,miss,2,pre1900,county miss
81,court,yesterday,2,pre1900,court yesterday
82,dawson,city,2,pre1900,dawson city
83,day,night,2,pre1900,day night
84,days,ago,2,pre1900,days ago
85,death,sentence,2,pre1900,death sentence
86,defective,page,2,pre1900,defective page
87,detroit,cleveland,2,pre1900,detroit cleveland
88,dismal,swamp,2,pre1900,dismal swamp
89,dyeing,cleaning,2,pre1900,dyeing cleaning
90,elective,franchise,2,pre1900,elective franchise
91,episcopal,church,2,pre1900,episcopal church
92,excepted11,30,2,pre1900,excepted11 30
93,false,returns,2,pre1900,false returns
94,farmer,living,2,pre1900,farmer living
95,farmville,jail,2,pre1900,farmville jail
96,federal,court,2,pre1900,federal court
97,fine,groceries,2,pre1900,fine groceries
98,fine,wines,2,pre1900,fine wines
99,fong,hop,2,pre1900,fong hop
100,frances,willard,2,pre1900,frances willard
101,franklin,st,2,pre1900,franklin st
102,free,exercise,2,pre1900,free exercise
103,friday,night,2,pre1900,friday night
104,friday,nights,2,pre1900,friday nights
105,gabriel,magloire,2,pre1900,gabriel magloire
106,head,lines,2,pre1900,head lines
107,henry,faedler,2,pre1900,henry faedler
108,hundred,millions,2,pre1900,hundred millions
109,illustrated,largest,2,pre1900,illustrated largest
110,individual,culprit,2,pre1900,individual culprit
111,irish,question,2,pre1900,irish question
112,journal,weekly,2,pre1900,journal weekly
113,jubilee,singers,2,pre1900,jubilee singers
114,judge,cooper,2,pre1900,judge cooper
115,june,16,2,pre1900,june 16
116,laundresses,housemaids,2,pre1900,laundresses housemaids
117,leaves,elba,2,pre1900,leaves elba
118,lee,song,2,pre1900,lee song
119,legal,privileges,2,pre1900,legal privileges
120,lexington,jail,2,pre1900,lexington jail
121,liquors,cigars,2,pre1900,liquors cigars
122,luke,1st,2,pre1900,luke 1st
123,main,st,2,pre1900,main st
124,mary,barnes,2,pre1900,mary barnes
125,memphis,sept,2,pre1900,memphis sept
126,mob,violence,2,pre1900,mob violence
127,monday,night,2,pre1900,monday night
128,months,specimen,2,pre1900,months specimen
129,murderer,lynched,2,pre1900,murderer lynched
130,mystic,shrine,2,pre1900,mystic shrine
131,national,officers,2,pre1900,national officers
132,national,officials,2,pre1900,national officials
133,negro,lynched,2,pre1900,negro lynched
134,oct,26,2,pre1900,oct 26
