newspaper_state_code,in_state,count
AK,N,24
AL,N,55
AL,Y,7
AR,N,43
AR,Y,9
AZ,N,41
CA,N,54
CA,Y,5
CO,N,45
CO,Y,2
CT,N,57
DE,N,51
DE,Y,1
FL,N,14
FL,Y,5
GA,N,56
GA,Y,10
HI,N,12
IA,N,39
IA,Y,4
ID,N,22
ID,Y,1
IL,N,86
IL,Y,6
IN,N,24
IN,Y,6
KS,N,103
KS,Y,9
KY,N,74
KY,Y,20
LA,N,43
LA,Y,9
MD,N,33
MD,Y,13
ME,N,22
ME,Y,2
MI,N,65
MN,N,104
MN,Y,2
MO,N,79
MO,Y,7
MS,N,65
MS,Y,14
MT,N,34
MT,Y,1
NC,N,94
NC,Y,13
ND,N,84
NE,N,66
NE,Y,5
NJ,N,22
NJ,Y,2
NM,N,19
NV,N,12
NV,Y,1
NY,N,75
NY,Y,1
OH,N,107
OH,Y,6
OK,N,26
OK,Y,3
OR,N,6
OR,Y,1
PA,N,5
SC,N,3
SC,Y,1
SD,N,88
SD,Y,1
TN,N,20
TN,Y,5
TX,N,38
TX,Y,13
UT,N,74
UT,Y,1
VA,N,104
VA,Y,13
VT,N,48
WA,N,72
WA,Y,2
WI,N,243
WI,Y,6
WV,N,104
WV,Y,10
WY,N,10
WY,Y,1
