"","X","file_id","newspaper_name","lynch_address","date","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","url","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Newspaper_Region2"
"1",1,8126,"The Houston daily post ","Abbeyville, AL","8/25/1897","Houston, Texas",-95.3698,29.760427,"Houston","TX",1897,"seq-5","https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Abbeyville","AL","sn86071197",-85.250489,31.571835,615,"N","1890s","Texas","South","South"
"2",3,8127,"Evening journal ","Pinehurst, GA","6/25/1912","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1912,"seq-7","https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1","Pinehurst","GA","sn85042354",-83.762953,32.195997,695,"N","1910s","Delaware","South","Border"
"3",5,8129,NA,"Frederick, MD","2/7/1896","NA, Maryland",-76.64127,39.045755,NA,"MD",1896,"seq-6","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Frederick","MD","sn89060092",-77.410541,39.414269,48,"Y","1890s","Maryland","South","Border"
"4",6,8129,NA,"Fredrick, MD","2/7/1896","NA, Maryland",-76.64127,39.045755,NA,"MD",1896,"seq-6","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Fredrick","MD","sn89060092",-77.410541,39.414269,48,"Y","1890s","Maryland","South","Border"
"5",7,8137,"Ladysmith news-budget ","Cornelia, GA","3/7/1913","Ladysmith, Wisconsin",-91.10404,45.463023,"Ladysmith","WI",1913,"seq-6","https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1","Cornelia","GA","sn85040245",-83.527117,34.511488,856,"N","1910s","Wisconsin","North Central","North"
"6",8,8149,"The Salt Lake herald ","Brook Haven, MI","1/3/1908","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT",1908,"seq-2","https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1","Brook Haven","MI","sn85058130",-85.602364,44.314844,1356,"N","1900s","Utah","West","Misc"
"7",9,8153,"The Waco evening news ","Roanoke, VA","9/21/1893","Waco, Texas",-97.14667,31.549333,"Waco","TX",1893,"seq-3","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Roanoke","VA","sn86088201",-79.941427,37.27097,1057,"N","1890s","Texas","South","South"
"8",11,8155,"The Hope pioneer ","Dallas, TX","8/4/1893","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Dallas","TX","sn87096037",-96.796988,32.776664,1007,"N","1890s","North Dakota","North Central","Misc"
"9",12,8155,"The Hope pioneer ","Gaston, SC","8/4/1893","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Gaston","SC","sn87096037",-81.100929,33.817097,1273,"N","1890s","North Dakota","North Central","Misc"
"10",13,8155,"The Hope pioneer ","Roanoke, VA","8/4/1893","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1893,"seq-2","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","Roanoke","VA","sn87096037",-79.941427,37.27097,1140,"N","1890s","North Dakota","North Central","Misc"
"11",23,8173,NA,"Downtown Omaha, NE","10/10/1891","NA, Nebraska",-99.90181,41.492537,NA,"NE",1891,"seq-1","https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1","Downtown Omaha","NE","sn99021999",-95.937129,41.26372,206,"Y","1890s","Nebraska","North Central","Misc"
"12",24,8176,"Waterbury evening Democrat ","Covington, LA","10/30/1891","Waterbury, Connecticut",-73.0515,41.558152,"Waterbury","CT",1891,"seq-1","https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1","Covington","LA","sn94053256",-90.100911,30.47547,1220,"N","1890s","Connecticut","Northeast","North"
"13",25,8180,"The Hope pioneer ","New Monroeville, AL","11/4/1892","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1892,"seq-2","https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1","New Monroeville","AL","sn87096037",-87.324708,31.52794,1223,"N","1890s","North Dakota","North Central","Misc"
"14",26,8181,"St. Paul daily globe ","Marianna, AK","10/4/1891","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN",1891,"seq-1","https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1","Marianna","AK","sn90059522",-90.772254,34.77462,715,"N","1890s","Minnesota","North Central","North"
"15",27,8183,"The Grenada sentinel ","Morgantown, NC","9/21/1889","Grenada, Mississippi",-89.80842,33.769005,"Grenada","MS",1889,"seq-2","https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1","Morgantown","NC","sn85034375",-81.684819,35.745407,481,"N","1880s","Mississippi","South","South"
"16",28,8186,"The enterprise ","Roanoke, VA","9/27/1893","Wellington, Ohio",-82.21793,41.168942,"Wellington","OH",1893,"seq-6","https://articleextractor.org/pages/8186/ohi_cousteau_ver02/sn84028272/1893/09/27/ed-1/seq-6/1","Roanoke","VA","sn84028272",-79.941427,37.27097,296,"N","1890s","Ohio","North Central","North"
"17",29,8187,"Arizona republican ","Shreveport, LA","1/15/1892","Phoenix, Arizona",-112.07404,33.448377,"Phoenix","AZ",1892,"seq-5","https://articleextractor.org/pages/8187/az_coyote_ver01/sn84020558/1892/01/15/ed-1/seq-5/1","Shreveport","LA","sn84020558",-93.750179,32.525152,1064,"N","1890s","Arizona","West","Misc"
"18",30,8188,"The intelligencer ","Lafayette County, KY","9/6/1890","Lexington, Missouri",-93.87994,39.184734,"Lexington","MO",1890,"seq-3","https://articleextractor.org/pages/8188/mohi_eeyore_ver01/sn93060412/1890/09/06/ed-1/seq-3/1","Lafayette County","KY","sn93060412",-87.658385,36.659303,382,"N","1890s","Missouri","North Central","Border"
"19",31,8189,NA,"Brenham, TX","2/3/1887","NA, Texas",-99.90181,31.968599,NA,"TX",1887,"seq-6","https://articleextractor.org/pages/8189/txdn_echo_ver03/sn86064205/1887/02/03/ed-1/seq-6/1","Brenham","TX","sn86064205",-96.397744,30.166883,242,"Y","1880s","Texas","South","South"
"20",32,8190,"The Topeka state journal ","Not specified, MI","9/3/1910","Topeka, Kansas",-95.67516,39.047345,"Topeka","KS",1910,"seq-12","https://articleextractor.org/pages/8190/khi_edelbrock_ver01/sn82016014/1910/09/03/ed-1/seq-12/1","Not specified","MI","sn82016014",NA,NA,NA,"N","1910s","Kansas","North Central","North"
"21",33,8191,"St. Paul daily globe ","Louisville, KY","8/29/1893","Saint Paul, Minnesota",-93.08996,44.953703,"Saint Paul","MN",1893,"seq-4","https://articleextractor.org/pages/8191/mnhi_gonvick_ver01/sn90059522/1893/08/29/ed-1/seq-4/1","Louisville","KY","sn90059522",-85.758456,38.252665,598,"N","1890s","Minnesota","North Central","North"
"22",34,8192,"The Salt Lake herald ","Atlanta, GA","7/28/1887","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT",1887,"seq-1","https://articleextractor.org/pages/8192/uuml_griffith_ver01/sn85058130/1887/07/28/ed-1/seq-1/1","Atlanta","GA","sn85058130",-84.387684,33.748752,1582,"N","1880s","Utah","West","Misc"
