...1,word1,word2,n,decade,x
1,NA,NA,206,pre1850s,NA NA
2,lynch,law,58,pre1850s,lynch law
3,san,francisco,7,pre1850s,san francisco
4,st,louis,7,pre1850s,st louis
5,hourly,occurrence,5,pre1850s,hourly occurrence
6,sir,robert,5,pre1850s,sir robert
7,dear,sir,4,pre1850s,dear sir
8,distressing,condition,4,pre1850s,distressing condition
9,hundred,dollars,4,pre1850s,hundred dollars
10,judge,lynch,4,pre1850s,judge lynch
11,lynch,law.the,4,pre1850s,lynch law.the
12,north,south,4,pre1850s,north south
13,provisional,government,4,pre1850s,provisional government
14,twenty,murders,4,pre1850s,twenty murders
15,"15,000",souls,3,pre1850s,"15,000 souls"
16,aquilla,barnes,3,pre1850s,aquilla barnes
17,arrival,occurs,3,pre1850s,arrival occurs
18,col,turk,3,pre1850s,col turk
19,dissatisfaction,exists,3,pre1850s,dissatisfaction exists
20,ensuing,summer,3,pre1850s,ensuing summer
21,hundred,lashes,3,pre1850s,hundred lashes
22,law,sixty,3,pre1850s,law sixty
23,lynch,law.on,3,pre1850s,lynch law.on
24,poorer,inhabitants,3,pre1850s,poorer inhabitants
25,revenue,laws,3,pre1850s,revenue laws
26,robert,peel,3,pre1850s,robert peel
27,united,kingdom,3,pre1850s,united kingdom
28,volunteer,companies,3,pre1850s,volunteer companies
29,white,population,3,pre1850s,white population
30,white,river,3,pre1850s,white river
31,york,dated,3,pre1850s,york dated
32,10th,inst,2,pre1850s,10th inst
33,12,o'clock,2,pre1850s,12 o'clock
34,25,1848,2,pre1850s,25 1848
35,28th,ult,2,pre1850s,28th ult
36,3d,inst,2,pre1850s,3d inst
37,active,search,2,pre1850s,active search
38,aged,father,2,pre1850s,aged father
39,alarmed,separated,2,pre1850s,alarmed separated
40,american,naval,2,pre1850s,american naval
41,american,navy,2,pre1850s,american navy
42,american,seamen,2,pre1850s,american seamen
43,american,union,2,pre1850s,american union
44,barnes,son,2,pre1850s,barnes son
45,black,fellow,2,pre1850s,black fellow
46,british,journalists,2,pre1850s,british journalists
47,british,law,2,pre1850s,british law
48,british,officer,2,pre1850s,british officer
49,british,soldier,2,pre1850s,british soldier
50,cadiz,november,2,pre1850s,cadiz november
51,camelford,shot,2,pre1850s,camelford shot
52,capturing,27,2,pre1850s,capturing 27
53,caught,hold,2,pre1850s,caught hold
54,caught,stealing,2,pre1850s,caught stealing
55,cold,blood,2,pre1850s,cold blood
56,colonel,turk,2,pre1850s,colonel turk
57,colored,people,2,pre1850s,colored people
58,commodore,jones,2,pre1850s,commodore jones
59,considerable,sum,2,pre1850s,considerable sum
60,cotton,elliot,2,pre1850s,cotton elliot
61,county,mo,2,pre1850s,county mo
62,dated,cadiz,2,pre1850s,dated cadiz
63,days,succeeded,2,pre1850s,days succeeded
64,de,joinville,2,pre1850s,de joinville
65,de,kalb,2,pre1850s,de kalb
66,de,mon,2,pre1850s,de mon
67,dead,bodies,2,pre1850s,dead bodies
68,december,25,2,pre1850s,december 25
69,english,officer,2,pre1850s,english officer
70,exchange,office,2,pre1850s,exchange office
71,excitement,prevails,2,pre1850s,excitement prevails
72,feb,13,2,pre1850s,feb 13
73,ferry,boat,2,pre1850s,ferry boat
74,foreign,countries,2,pre1850s,foreign countries
75,foreign,mints,2,pre1850s,foreign mints
76,francisco,california,2,pre1850s,francisco california
77,gaining,ground,2,pre1850s,gaining ground
78,gold,mines,2,pre1850s,gold mines
79,grand,jury,2,pre1850s,grand jury
80,guilty,parties,2,pre1850s,guilty parties
81,henderson,county,2,pre1850s,henderson county
82,horse,stealing,2,pre1850s,horse stealing
83,horse,thieves,2,pre1850s,horse thieves
84,hugh,cotton,2,pre1850s,hugh cotton
85,hull,dispensed,2,pre1850s,hull dispensed
86,inst,phillips,2,pre1850s,inst phillips
87,instant,death,2,pre1850s,instant death
88,irregular,proceedings,2,pre1850s,irregular proceedings
89,james,barnes,2,pre1850s,james barnes
90,je,suis,2,pre1850s,je suis
91,jefferson,county,2,pre1850s,jefferson county
92,jesus,christ,2,pre1850s,jesus christ
93,joe,merritt,2,pre1850s,joe merritt
94,lieutenant,dead,2,pre1850s,lieutenant dead
95,lord,camelford,2,pre1850s,lord camelford
96,louis,napoleon,2,pre1850s,louis napoleon
97,lower,classes,2,pre1850s,lower classes
98,ly,executed,2,pre1850s,ly executed
99,lynch,lawabolitionists,2,pre1850s,lynch lawabolitionists
100,mary,ellen,2,pre1850s,mary ellen
101,mayor's,office,2,pre1850s,mayor's office
102,merchant,finding,2,pre1850s,merchant finding
103,mexican,authorities,2,pre1850s,mexican authorities
104,mississippi,river,2,pre1850s,mississippi river
105,mob,hung,2,pre1850s,mob hung
106,mob,violence,2,pre1850s,mob violence
107,murderthus,blasting,2,pre1850s,murderthus blasting
108,named,counties,2,pre1850s,named counties
109,november,13,2,pre1850s,november 13
110,numerous,gang,2,pre1850s,numerous gang
111,official,papers,2,pre1850s,official papers
112,ohio,canal,2,pre1850s,ohio canal
113,ounce,troy,2,pre1850s,ounce troy
114,outrages,murders,2,pre1850s,outrages murders
115,pollock,hugh,2,pre1850s,pollock hugh
116,popular,local,2,pre1850s,popular local
117,post,office,2,pre1850s,post office
118,prince,de,2,pre1850s,prince de
119,public,opinion,2,pre1850s,public opinion
120,pulling,themperhaps,2,pre1850s,pulling themperhaps
121,questionable,legality,2,pre1850s,questionable legality
122,relay,magnets,2,pre1850s,relay magnets
123,rio,grande,2,pre1850s,rio grande
124,river,landing,2,pre1850s,river landing
125,river,opposite,2,pre1850s,river opposite
126,robert,hunter,2,pre1850s,robert hunter
127,runaway,race,2,pre1850s,runaway race
128,set,adrift,2,pre1850s,set adrift
129,ship,mary,2,pre1850s,ship mary
130,shocking,outrages,2,pre1850s,shocking outrages
131,short,time,2,pre1850s,short time
132,sixty,miles,2,pre1850s,sixty miles
133,somers,stewart,2,pre1850s,somers stewart
134,south,carolina,2,pre1850s,south carolina
135,squire,forrer,2,pre1850s,squire forrer
136,stewart,jones,2,pre1850s,stewart jones
137,struggling,victim,2,pre1850s,struggling victim
138,summary,manner,2,pre1850s,summary manner
139,tastes,run,2,pre1850s,tastes run
140,ten,thousand,2,pre1850s,ten thousand
141,time,past,2,pre1850s,time past
142,trading,flat,2,pre1850s,trading flat
143,tuesday,night,2,pre1850s,tuesday night
144,uncommon,speed,2,pre1850s,uncommon speed
145,united,service,2,pre1850s,united service
146,van,buren,2,pre1850s,van buren
147,vera,cruz,2,pre1850s,vera cruz
148,wednesday,morning,2,pre1850s,wednesday morning
149,wild,cherry,2,pre1850s,wild cherry
150,willis,pollock,2,pre1850s,willis pollock
151,wind,howled,2,pre1850s,wind howled
152,winnebago,counties,2,pre1850s,winnebago counties
153,wistar's,balsam,2,pre1850s,wistar's balsam
154,wrathful,wind,2,pre1850s,wrathful wind
155,york,joe,2,pre1850s,york joe
156,0,horrible,1,pre1850s,0 horrible
157,000,twothirds,1,pre1850s,000 twothirds
158,1,apiece,1,pre1850s,1 apiece
159,"1,500",persons,1,pre1850s,"1,500 persons"
160,"1,500",worth,1,pre1850s,"1,500 worth"
161,1.000,dence,1,pre1850s,1.000 dence
162,1.500,lieved,1,pre1850s,1.500 lieved
163,10,1815,1,pre1850s,10 1815
164,100,vessels,1,pre1850s,100 vessels
165,10th,instant,1,pre1850s,10th instant
166,11th,inst,1,pre1850s,11th inst
167,13,7,1,pre1850s,13 7
168,150,lashes,1,pre1850s,150 lashes
169,16,1835,1,pre1850s,16 1835
170,16th,ult,1,pre1850s,16th ult
171,170,miles,1,pre1850s,170 miles
172,18,1846,1,pre1850s,18 1846
173,1832,3,1,pre1850s,1832 3
174,1844,5,1,pre1850s,1844 5
175,19th,inst,1,pre1850s,19th inst
176,2,1849,1,pre1850s,2 1849
177,2,o'clock,1,pre1850s,2 o'clock
178,20,armed,1,pre1850s,20 armed
179,20,lashes,1,pre1850s,20 lashes
180,20,miles,1,pre1850s,20 miles
181,20,murders,1,pre1850s,20 murders
182,"20,000",people,1,pre1850s,"20,000 people"
183,21st,ult,1,pre1850s,21st ult
184,22,loco,1,pre1850s,22 loco
185,22d,inst,1,pre1850s,22d inst
186,23d,ult,1,pre1850s,23d ult
187,25th,ult,1,pre1850s,25th ult
188,28th,inst,1,pre1850s,28th inst
189,29,1819,1,pre1850s,29 1819
190,2d,avenues,1,pre1850s,2d avenues
191,2d,instant,1,pre1850s,2d instant
192,3,4,1,pre1850s,3 4
193,3,children,1,pre1850s,3 children
194,"3,000",troops,1,pre1850s,"3,000 troops"
195,30,lashes,1,pre1850s,30 lashes
196,31,1835,1,pre1850s,31 1835
197,35,dollars,1,pre1850s,35 dollars
198,3d,instant,1,pre1850s,3d instant
199,40,miles,1,pre1850s,40 miles
200,"400,000",twothirds,1,pre1850s,"400,000 twothirds"
201,4th,infantry,1,pre1850s,4th infantry
202,4th,inst,1,pre1850s,4th inst
203,5,minuteswhen,1,pre1850s,5 minuteswhen
204,50,000,1,pre1850s,50 000
205,50,balle,1,pre1850s,50 balle
206,50,cents,1,pre1850s,50 cents
207,6,yoakum,1,pre1850s,6 yoakum
208,6000,occurred,1,pre1850s,6000 occurred
209,62,loco,1,pre1850s,62 loco
210,6th,instant,1,pre1850s,6th instant
211,75,persons,1,pre1850s,75 persons
212,7th,january,1,pre1850s,7th january
213,7th,stripped,1,pre1850s,7th stripped
214,9,o'clock,1,pre1850s,9 o'clock
215,9th,inst,1,pre1850s,9th inst
216,abin,pursoit,1,pre1850s,abin pursoit
217,abolition,anni,1,pre1850s,abolition anni
218,abolition,books,1,pre1850s,abolition books
219,abolition,convention,1,pre1850s,abolition convention
220,abolition,dens,1,pre1850s,abolition dens
221,abolition,incendiary,1,pre1850s,abolition incendiary
222,abolition,paper,1,pre1850s,abolition paper
223,abolition,publication,1,pre1850s,abolition publication
224,abolition,speeches,1,pre1850s,abolition speeches
225,abolitionists,elected,1,pre1850s,abolitionists elected
226,abominable,inferences,1,pre1850s,abominable inferences
227,abortive,attempt,1,pre1850s,abortive attempt
228,abroad,wealth,1,pre1850s,abroad wealth
229,abroad,whilst,1,pre1850s,abroad whilst
230,ac,acteristic,1,pre1850s,ac acteristic
231,accidental,reprieve,1,pre1850s,accidental reprieve
