"","file_id","newspaper_name","lynch_address","date","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","url","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Border","total_words","file_id_old"
"1","16963","Fremont weekly freeman","Eutaw, AL","12/7/1850","Fremont, Ohio",-83.12186,41.35033,"Fremont","OH",1850,"seq-2","https://articleextractor.org/pages/16963/ohi_ingstad_ver01/sn85026051/1850/12/07/ed-1/seq-2/1","Eutaw","AL","sn85026051",-87.8875145,32.8406848,644,"N",1850,"Ohio","Midwest","Not_Border",NA,NA
"2","17151_0","Semi-weekly standard","Gaston, AL","6/27/1855","Raleigh, North Carolina",-78.63818,35.77959,"Raleigh","NC",1855,"seq-2","https://articleextractor.org/pages/17151/ncu_broad_ver01/sn83045450/1855/06/27/ed-1/seq-2/1","Gaston","AL","sn83045450",-88.2236365,32.3509735,598,"N",1850,"North Carolina","South","Not_Border",411,17151
"3","17144_0","The daily dispatch","Sumpter, AL","6/5/1855","Richmond , Virginia",-77.43605,37.540725,"Richmond","VA",1855,"seq-1","https://articleextractor.org/pages/17144/vi_manowar_ver01/sn84024738/1855/06/05/ed-1/seq-1/1","Sumpter","AL","sn84024738",-88.2461183,32.6155551,700,"N",1850,"Virginia","South","Not_Border",61,17144
"4","14036_0","The daily dispatch","Conecuh County, AL","11/30/1859","Richmond , Virginia",-77.43605,37.540725,"Richmond","VA",1859,"seq-2","https://articleextractor.org/pages/14036/vi_manowar_ver01/sn84024738/1859/11/30/ed-1/seq-2/1","Conecuh County","AL","sn84024738",-86.9824288,31.501571,685,"N",1850,"Virginia","South","Not_Border",64,14036
"5","18203_0","The Pulaski citizen","Courtland, AL","6/4/1874","Pulaski, Tennessee",-87.03084,35.199802,"Pulaski","TN",1874,"seq-3","https://articleextractor.org/pages/18203/tu_jethro_ver01/sn85033964/1874/06/04/ed-1/seq-3/1","Courtland","AL","sn85033964",-87.3094649,34.6689794,40,"N",1870,"Tennessee","South","Not_Border",55,18203
"6","13792","Huntsville gazette","Selma, AL","4/8/1882","Huntsville, Alabama",-86.5861,34.730369,"Huntsville","AL",1882,"seq-1","https://articleextractor.org/pages/13792/au_inman_ver01/sn84020151/1882/04/08/ed-1/seq-1/1","Selma","AL","sn84020151",-87.0211007,32.4073589,163,"Y",1880,"Alabama","South","Not_Border",NA,NA
"7","16917_0","Huntsville gazette","Chambers County, AL","8/19/1882","Huntsville, Alabama",-86.5861,34.730369,"Huntsville","AL",1882,"seq-3","https://articleextractor.org/pages/16917/au_inman_ver01/sn84020151/1882/08/19/ed-1/seq-3/1","Chambers County","AL","sn84020151",-85.354965,32.9028048,145,"Y",1880,"Alabama","South","Not_Border",22,16917
"8","17479_0","Daily Republican","Muscle Shoals, AL","5/2/1883",", Delaware",-75.52767,38.910832,NA,"DE",1883,"seq-1","https://articleextractor.org/pages/17479/deu_glisseo_ver01/sn84038114/1883/05/02/ed-1/seq-1/1","Muscle Shoals","AL","sn84038114",-87.6675292,34.7448112,731,"N",1880,"Delaware","South","Border",202,17479
"9","13798_2","The Portland daily press","Rockford, AL","6/16/1883","Portland, Maine",-70.25682,43.659099,"Portland","ME",1883,"seq-1","https://articleextractor.org/pages/13798/me_edgecomb_ver02/sn83016025/1883/06/16/ed-1/seq-1/1","Rockford","AL","sn83016025",-86.2196936,32.8895681,1139,"N",1880,"Maine","Northeast","Not_Border",89,13798
"10","14695_1","The Kenosha telegraph","Coosacoo, AL","6/22/1883","Kenosha, Wisconsin",-87.82118,42.584742,"Kenosha","WI",1883,"seq-1","https://articleextractor.org/pages/14695/whi_engledinger_ver02/sn85033123/1883/06/22/ed-1/seq-1/1","Coosacoo","AL","sn85033123",-86.902298,32.3182314,712,"N",1880,"Wisconsin","Midwest","Not_Border",28,14695
"11","14534_0","The Wheeling daily intelligencer","Gadsden, AL","4/18/1884","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV",1884,"seq-1","https://articleextractor.org/pages/14534/wvu_france_ver01/sn84026844/1884/04/18/ed-1/seq-1/1","Gadsden","AL","sn84026844",-86.0066386,34.014264,510,"N",1880,"West Virginia","South","Border",268,14534
"12","14490_0","Wheeling register","Bibb County or Chilton County, AL","5/15/1885","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV",1885,"seq-1","https://articleextractor.org/pages/14490/wvu_odona_ver04/sn86092518/1885/05/15/ed-1/seq-1/2","Bibb County or Chilton County","AL","sn86092518",-86.6611083,32.944392,593,"N",1880,"West Virginia","South","Border",75,14490
"13","8430_0","Eureka daily sentinel","Bullock County, AL","7/18/1886","Eureka, Nevada",-115.96078,39.512486,"Eureka","NV",1886,"seq-2","https://articleextractor.org/pages/8430/nvln_sparks_ver01/sn84022044/1886/07/18/ed-1/seq-2/1","Bullock County","AL","sn84022044",-85.7256372,32.0573536,1764,"N",1880,"Nevada","West","Not_Border",155,8430
"14","8519_0",NA,"Birmingham, AL","12/14/1888","NA, South Dakota",-99.90181,43.969515,NA,"SD",1888,"seq-8","https://articleextractor.org/pages/8519/sdhi_goshawk_ver03/sn2001063112/1888/12/14/ed-1/seq-8/1","Birmingham","AL","sn2001063112",-86.8103567,33.5185892,1008,"N",1880,"South Dakota","Midwest","Not_Border",892,8519
"15","14541_0","Martinsburg independent","Bessemer, AL","4/28/1888","Martinsburg, West Virginia",-77.96389,39.45621,"Martinsburg","WV",1888,"seq-1","https://articleextractor.org/pages/14541/wvu_faldo_ver01/sn84038206/1888/04/28/ed-1/seq-1/1","Bessemer","AL","sn84038206",-86.954437,33.4017766,652,"N",1880,"West Virginia","South","Border",80,14541
"16","8503_0","Idaho semi-weekly world","Bessemer, AL","5/18/1888","Idaho City, Idaho",-115.83455,43.828505,"Idaho City","ID",1888,"seq-2","https://articleextractor.org/pages/8503/idhi_eliot_ver01/sn84022135/1888/05/18/ed-1/seq-2/1","Bessemer","AL","sn84022135",-86.954437,33.4017766,1708,"N",1880,"Idaho","West","Not_Border",42,8503
"17","14487_0","Wheeling register","Birmingham, AL","4/25/1888","Wheeling, West Virginia",-80.72092,40.063962,"Wheeling","WV",1888,"seq-1","https://articleextractor.org/pages/14487/wvu_odona_ver04/sn86092518/1888/04/25/ed-1/seq-1/2","Birmingham","AL","sn86092518",-86.8103567,33.5185892,564,"N",1880,"West Virginia","South","Border",19,14487
"18","9841_1","Mower County transcript","Cherokee, AL","1/11/1888","Lansing, Minnesota",-92.97019,43.74524,"Lansing","MN",1888,"seq-2","https://articleextractor.org/pages/9841/mnhi_quasar_ver01/sn85025431/1888/01/11/ed-1/seq-2/2","Cherokee","AL","sn85025431",-87.9728143,34.7570342,677,"N",1880,"Minnesota","Midwest","Not_Border",17,9841
"19","14449_0","Sacramento daily record-union","Birmingham, AL","9/28/1889","Sacramento , California",-121.4944,38.581572,"Sacramento","CA",1889,"seq-1","https://articleextractor.org/pages/14449/curiv_mojave_ver01/sn82014381/1889/09/28/ed-1/seq-1/1","Birmingham","AL","sn82014381",-86.8103567,33.5185892,1959,"N",1880,"California","West","Not_Border",144,14449
"20","14349_0","Sacramento daily record-union","Birmingham, AL","1/16/1889","Sacramento , California",-121.4944,38.581572,"Sacramento","CA",1889,"seq-6","https://articleextractor.org/pages/14349/curiv_mojave_ver01/sn82014381/1889/01/16/ed-1/seq-6/1","Birmingham","AL","sn82014381",-86.8103567,33.5185892,1959,"N",1880,"California","West","Not_Border",104,14349
"21","8479",NA,"Birmingham, AL","4/24/1890","NA, South Dakota",-99.90181,43.969515,NA,"SD",1890,"seq-2","https://articleextractor.org/pages/8479/sdhi_imbe_ver01/sn98062948/1890/04/24/ed-1/seq-2/1","Birmingham","AL","sn98062948",-86.8103567,33.5185892,1008,"N",1890,"South Dakota","Midwest","Not_Border",NA,NA
"22","13910_0","The sun","Mobile, AL","12/29/1891","New York , New York",-74.00597,40.712775,"New York","NY",1891,"seq-5","https://articleextractor.org/pages/13910/nn_milosz_ver01/sn83030272/1891/12/29/ed-1/seq-5/1","Mobile","AL","sn83030272",-88.0398912,30.6953657,1047,"N",1890,"New York","Northeast","Not_Border",348,13910
"23","8263_0",NA,"Mobile, AL","5/28/1892","NA, North Dakota",-101.00201,47.551493,NA,"ND",1892,"seq-2","https://articleextractor.org/pages/8263/ndhi_lawrencium_ver01/sn88076679/1892/05/28/ed-1/seq-2/1","Mobile","AL","sn88076679",-88.0398912,30.6953657,1354,"N",1890,"North Dakota","Midwest","Not_Border",137,8263
"24","8824_0","The Seattle post-intelligencer","Birmingham, AL","10/15/1892","Seattle, Washington",-122.33285,47.606139,"Seattle","WA",1892,"seq-2","https://articleextractor.org/pages/8824/wa_forks_ver01/sn83045604/1892/10/15/ed-1/seq-2/1","Birmingham","AL","sn83045604",-86.8103567,33.5185892,2081,"N",1890,"Washington","West","Not_Border",125,8824
"25","8857_0","The Wichita daily eagle","Birmingham, AL","10/15/1892","Wichita, Kansas",-97.33005,37.687176,"Wichita","KS",1892,"seq-2","https://articleextractor.org/pages/8857/khi_ingalls_ver02/sn82014635/1892/10/15/ed-1/seq-2/1","Birmingham","AL","sn82014635",-86.8103567,33.5185892,658,"N",1890,"Kansas","Midwest","Not_Border",67,8857
"26","14581_0","Iowa County democrat","Huntsville, AL","4/8/1892","Mineral Point, Wisconsin",-90.17985,42.859997,"Mineral Point","WI",1892,"seq-2","https://articleextractor.org/pages/14581/whi_lucretia_ver01/sn86086852/1892/04/08/ed-1/seq-2/1","Huntsville","AL","sn86086852",-86.5861037,34.7303688,595,"N",1890,"Wisconsin","Midwest","Not_Border",41,14581
"27","8262_0",NA,"Monroeville, AL","10/22/1892","NA, Missouri",101.75239,20.92408,NA,"MO",1892,"seq-1","https://articleextractor.org/pages/8262/mohi_jerome_ver01/sn89066818/1892/10/22/ed-1/seq-1/1","Monroeville","AL","sn89066818",-87.3247077,31.5279399,8773,"N",1890,"Missouri","Midwest","Border",31,8262
"28","14597_0","Grant County herald","New Monroeville, AL","11/10/1892","Lancaster, Wisconsin",-90.71068,42.84749,"Lancaster","WI",1892,"seq-1","https://articleextractor.org/pages/14597/whi_jyme_ver01/sn85033133/1892/11/10/ed-1/seq-1/1","New Monroeville","AL","sn85033133",-87.3247077,31.5279399,805,"N",1890,"Wisconsin","Midwest","Not_Border",17,14597
"29","14597_1","Grant County herald","St. Stephens, AL","11/10/1892","Lancaster, Wisconsin",-90.71068,42.84749,"Lancaster","WI",1892,"seq-1","https://articleextractor.org/pages/14597/whi_jyme_ver01/sn85033133/1892/11/10/ed-1/seq-1/1","St. Stephens","AL","sn85033133",-88.0559866,31.5421917,795,"N",1890,"Wisconsin","Midwest","Not_Border",18,14597
"30","8180_0","The Hope pioneer","New Monroeville, AL","11/4/1892","Hope, North Dakota",-97.72232,47.32221,"Hope","ND",1892,"seq-2","https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1","New Monroeville","AL","sn87096037",-87.3247077,31.5279399,1223,"N",1890,"North Dakota","Midwest","Not_Border",15,8180
"31","8364",NA,"Calera, AL","8/3/1893","NA, Missouri",101.75239,20.92408,NA,"MO",1893,"seq-6","https://articleextractor.org/pages/8364/mohi_flash_ver02/sn89067453/1893/08/03/ed-1/seq-6/2","Calera","AL","sn89067453",-86.7535975,33.1028965,8672,"N",1890,"Missouri","Midwest","Border",NA,NA
