"","...1","file_id","article_id","sn","newspaper_name","year","month","day","page","edition","mod_id","URL","newspaper_state","file_id2","index"
"1",597983,8126,0,"sn86071197","The Houston daily post (Houston, Tex.)",1897,8,25,"seq-5","ed-1",1,"https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Texas","8126_0",2485
"2",35817,8127,0,"sn85042354","Evening journal (Wilmington, Del...)",1912,6,25,"seq-7","ed-1",1,"https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1","Delaware","8127_0",2486
"3",229363,8129,0,"sn89060092",NA,1896,2,7,"seq-6","ed-1",1,"https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Maryland","8129_0",2487
"4",695231,8137,0,"sn85040245","Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,"seq-6","ed-1",1,"https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1","Wisconsin","8137_0",2488
"5",621248,8149,0,"sn85058130","The Salt Lake herald (Salt Lake City ...)",1908,1,3,"seq-2","ed-1",1,"https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1","Utah","8149_0",2489
"6",587530,8153,0,"sn86088201","The Waco evening news (Waco, Tex.)",1893,9,21,"seq-3","ed-1",1,"https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Texas","8153_0",2490
"7",587537,8153,1,"sn86088201","The Waco evening news (Waco, Tex.)",1893,9,21,"seq-3","ed-1",1,"https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Texas","8153_1",2491
"8",399738,8155,0,"sn87096037","The Hope pioneer (Hope, N.D.)",1893,8,4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_0",2492
"9",399780,8155,1,"sn87096037","The Hope pioneer (Hope, N.D.)",1893,8,4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_1",2493
"10",399750,8155,2,"sn87096037","The Hope pioneer (Hope, N.D.)",1893,8,4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_2",2494
