file_id,newspaper_name,lynch_address,date,news_address,news_location_lon,news_location_lat,newspaper_city,newspaper_state_code,year,page,url,city_lynch,state_lynch,sn,lynching.lon,lynching.lat,miles,in_state,decade,Newspaper_State,Newspaper_Region,Border,words,file_id_old
8127_0,Evening journal,"Pinehurst, GA",1912-06-25T00:00:00Z,"Wilmington, Delaware",-75.54839,39.744655,Wilmington,DE,1912,seq-7,https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1,Pinehurst,GA,,,,,N,1910s,Delaware,South,Border,75,8127
8137_0,Ladysmith news-budget,"Cornelia, GA",1913-03-07T00:00:00Z,"Ladysmith, Wisconsin",-91.10404,45.463023,Ladysmith,WI,1913,seq-6,https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1,Cornelia,GA,,,,,N,1910s,Wisconsin,Midwest,Not_Border,81,8137
8149_0,The Salt Lake herald,"Brook Haven, MI",1908-01-03T00:00:00Z,"Salt Lake City , Utah",-111.89105,40.760779,Salt Lake City,UT,1908,seq-2,https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1,Brook Haven,MS,,,,,N,1900s,Utah,West,Not_Border,143,8149
8173_0,NA,"Downtown Omaha, NE",1891-10-10T00:00:00Z,"NA, Nebraska",-99.90181,41.492537,NA,NE,1891,seq-1,https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1,Downtown Omaha,NE,,,,,Y,1890s,Nebraska,Midwest,Not_Border,4626,8173
8176_0,Waterbury evening Democrat,"Covington, LA",1891-10-30T00:00:00Z,"Waterbury, Connecticut",-73.0515,41.558152,Waterbury,CT,1891,seq-1,https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1,Covington,LA,,,,,N,1890s,Connecticut,Northeast,Not_Border,45,8176
8181_0,St. Paul daily globe,"Marianna, AK",1891-10-04T00:00:00Z,"Saint Paul, Minnesota",-93.08996,44.953703,Saint Paul,MN,1891,seq-1,https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1,Marianna,AR,,,,,N,1890s,Minnesota,Midwest,Not_Border,139,8181
8183_0,The Grenada sentinel,"Morgantown, NC",1889-09-21T00:00:00Z,"Grenada, Mississippi",-89.80842,33.769005,Grenada,MS,1889,seq-2,https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1,Morgantown,NC,,,,,N,1880s,Mississippi,South,Not_Border,250,8183
8186_0,The enterprise,"Roanoke, VA",1893-09-27T00:00:00Z,"Wellington, Ohio",-82.21793,41.168942,Wellington,OH,1893,seq-6,https://articleextractor.org/pages/8186/ohi_cousteau_ver02/sn84028272/1893/09/27/ed-1/seq-6/1,Roanoke,VA,,,,,N,1890s,Ohio,Midwest,Not_Border,467,8186
8187_0,Arizona republican,"Shreveport, LA",1892-01-15T00:00:00Z,"Phoenix, Arizona",-112.07404,33.448377,Phoenix,AZ,1892,seq-5,https://articleextractor.org/pages/8187/az_coyote_ver01/sn84020558/1892/01/15/ed-1/seq-5/1,Shreveport,LA,,,,,N,1890s,Arizona,West,Not_Border,85,8187
8188_0,The intelligencer,"Lafayette County, KY",1890-09-06T00:00:00Z,"Lexington, Missouri",-93.87994,39.184734,Lexington,MO,1890,seq-3,https://articleextractor.org/pages/8188/mohi_eeyore_ver01/sn93060412/1890/09/06/ed-1/seq-3/1,Lafayette County,KY,,,,,N,1890s,Missouri,Midwest,Border,3434,8188
