file_id,newspaper_name,lynch_address,date,news_address,news_location_lon,news_location_lat,newspaper_city,newspaper_state_code,year,page,url,city_lynch,state_lynch,sn,lynching.lon,lynching.lat,miles,in_state,decade,Newspaper_State,Newspaper_Region,Border,total_words,file_id_old
16742_0,Virginia Argus,"NA, NA",1/19/1805,"Richmond, Virginia",-77.43605,37.540725,Richmond,VA,1805,seq-3,https://articleextractor.org/pages/16742/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/1,NA,NA,sn84024710,NA,NA,NA,N,1800,Virginia,South,Not_Border,74,16742
16744_0,Berkeley and Jefferson intelligencer,"NA, NA",2/1/1805,"Martinsburg, Virginia",-77.96389,39.45621,Martinsburg,VA,1805,seq-2,https://articleextractor.org/pages/16744/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/2,NA,NA,sn85059525,NA,NA,NA,N,1800,Virginia,South,Not_Border,73,16744
16745_0,Lynchburg Virginian,"Niles, IL",7/23/1835,"Lynchburg , Virginia",-79.14225,37.413754,Lynchburg,VA,1835,seq-2,https://articleextractor.org/pages/16745/vi_dartmoor_ver03/sn84024649/1835/07/23/ed-1/seq-2/1,Niles,IL,sn84024649,-87.80284019999999,42.0189191,560,N,1830,Virginia,South,Not_Border,509,16745
16747_0,South Branch intelligencer,"Vicksburg, MS",8/1/1835,"Romney, West Virginia",-78.75668,39.342043,Romney,WV,1835,seq-2,https://articleextractor.org/pages/16747/wvu_queen_ver01/sn84026826/1835/08/01/ed-1/seq-2/1,Vicksburg,MS,sn84026826,-90.877882,32.3526456,833,N,1830,West Virginia,South,Border,426,16747
16757_0,Richmond enquirer,"NA, KY",9/29/1835,"Richmond, Virginia",-77.43605,37.540725,Richmond,VA,1835,seq-4,https://articleextractor.org/pages/16757/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/1,NA,KY,sn84024735,106.1500072,22.726562,8275,N,1830,Virginia,South,Not_Border,385,16757
16756_0,South Branch intelligencer,"Vicksburg, MS",9/12/1835,"Romney, West Virginia",-78.75668,39.342043,Romney,WV,1835,seq-2,https://articleextractor.org/pages/16756/wvu_queen_ver01/sn84026826/1835/09/12/ed-1/seq-2/2,Vicksburg,MS,sn84026826,-90.877882,32.3526456,833,N,1830,West Virginia,South,Border,258,16756
16746_0,The Arkansas advocate,"Madison County, MS",7/31/1835,"Little Rock, Arkansas",-92.28802,34.744462,Little Rock,AR,1835,seq-2,https://articleextractor.org/pages/16746/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/1,Madison County,MS,sn87062070,-90.0373201,32.6729459,193,N,1830,Arkansas,South,Not_Border,182,16746
16751_0,South Branch intelligencer,"Charleston, SC",9/5/1835,"Romney, West Virginia",-78.75668,39.342043,Romney,WV,1835,seq-3,https://articleextractor.org/pages/16751/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/3,Charleston,SC,sn84026826,-79.93105120000001,32.7764749,459,N,1830,West Virginia,South,Border,177,16751
16751,South Branch intelligencer,"Clinton, LA",9/5/1835,"Romney, West Virginia",-78.75668,39.342043,Romney,WV,1835,seq-3,https://articleextractor.org/pages/16751/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/3,Clinton,LA,sn84026826,-91.0156594,30.8657362,907,N,1830,West Virginia,South,Border,NA,NA
16753_0,Richmond enquirer,"Maysville, NA",9/8/1835,"Richmond, Virginia",-77.43605,37.540725,Richmond,VA,1835,seq-4,https://articleextractor.org/pages/16753/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/4,Maysville,NA,sn84024735,-83.744365,38.6411854,352,N,1830,Virginia,South,Not_Border,156,16753
