"","X","file_id","newspaper_name1","news_address","news_location.lon","news_location.lat","city1","newspaper_state_code","date","year","page","URL","lynch_address","city_lynch","state_lynch","lynching.lon","lynching.lat","Comments.or.notes.","index","sn","news_location","lynch_location","miles","in_state","decade","Newspaper_State","Newspaper_Region"
"1",1,8126,"The Houston daily post ","Houston, Texas",-95.3698,29.760427,"Houston","TX","8/25/1897",1897,"seq-5","https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Abbeyville, AL","Abbeyville","AL",-85.250489,31.571835,NA,2485,"sn86071197","-95.3698, 29.760427","-85.250489, 31.571835",615,"N","1890s","Texas","South"
"2",2,8126,"The Houston daily post ","Houston, Texas",-95.3698,29.760427,"Houston","TX","8/25/1897",1897,"seq-5","https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Abbeyville, AL","Abbeyville","AL",-85.250489,31.571835,NA,2485,"sn86071197","-95.3698, 29.760427","-85.250489, 31.571835",615,"N","1890s","Texas","South"
"3",3,8127,"Evening journal ","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE","6/25/1912",1912,"seq-7","https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1","Pinehurst, GA","Pinehurst","GA",-83.762953,32.195997,NA,2486,"sn85042354","-75.54839, 39.744655","-83.762953, 32.195997",695,"N","1910s","Delaware","South"
"4",4,8127,"Evening journal ","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE","6/25/1912",1912,"seq-7","https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1","Pinehurst, GA","Pinehurst","GA",-83.762953,32.195997,NA,2486,"sn85042354","-75.54839, 39.744655","-83.762953, 32.195997",695,"N","1910s","Delaware","South"
"5",5,8129,NA,"NA, Maryland",-76.64127,39.045755,NA,"MD","2/7/1896",1896,"seq-6","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Frederick, MD","Frederick","MD",-77.410541,39.414269,NA,2487,"sn89060092","-76.64127, 39.045755","-77.410541, 39.414269",48,"Y","1890s","Maryland","South"
"6",6,8129,NA,"NA, Maryland",-76.64127,39.045755,NA,"MD","2/7/1896",1896,"seq-6","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Fredrick, MD","Fredrick","MD",-77.410541,39.414269,NA,2487,"sn89060092","-76.64127, 39.045755","-77.410541, 39.414269",48,"Y","1890s","Maryland","South"
"7",7,8137,"Ladysmith news-budget ","Ladysmith, Wisconsin",-91.10404,45.463023,"Ladysmith","WI","3/7/1913",1913,"seq-6","https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1","Cornelia, GA","Cornelia","GA",-83.527117,34.511488,"Mob lynched 2 men at the same time",2488,"sn85040245","-91.10404, 45.463023","-83.527117, 34.511488",856,"N","1910s","Wisconsin","North Central"
"8",8,8149,"The Salt Lake herald ","Salt Lake City , Utah",-111.89105,40.760779,"Salt Lake City ","UT","1/3/1908",1908,"seq-2","https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1","Brook Haven, MI","Brook Haven","MI",-85.602364,44.314844,"""First lynching of the year"" mob lassoed the man away from police and hung him",2489,"sn85058130","-111.89105, 40.760779","-85.602364, 44.314844",1356,"N","1900s","Utah","West"
"9",9,8153,"The Waco evening news ","Waco, Texas",-97.14667,31.549333,"Waco","TX","9/21/1893",1893,"seq-3","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2490,"sn86088201","-97.14667, 31.549333","-79.941427, 37.27097",1057,"N","1890s","Texas","South"
"10",10,8153,"The Waco evening news ","Waco, Texas",-97.14667,31.549333,"Waco","TX","9/21/1893",1893,"seq-3","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Roanoke, VA","Roanoke","VA",-79.941427,37.27097,NA,2491,"sn86088201","-97.14667, 31.549333","-79.941427, 37.27097",1057,"N","1890s","Texas","South"
