word1,word2,n,decade
NA,NA,927,1880
lynch,law,44,1880
murderer,lynched,36,1880
days,ago,27,1880
judge,lynch,20,1880
negro,named,20,1880
saturday,night,19,1880
court,house,17,1880
negro,lynched,17,1880
st,louis,17,1880
white,girl,17,1880
monday,night,16,1880
white,caps,14,1880
white,woman,14,1880
mob,law,13,1880
yesterday,morning,13,1880
birmingham,ala,12,1880
negroes,lynched,12,1880
short,distance,12,1880
weeks,ago,12,1880
deputy,sheriff,11,1880
hong,di,11,1880
kansas,city,11,1880
shot,dead,11,1880
atlanta,ga,10,1880
county,jail,10,1880
dec,19,10,1880
masked,mob,10,1880
negro,murderer,10,1880
2,o'clock,9,1880
coroner's,jury,9,1880
grand,jury,9,1880
greene,county,9,1880
instantly,killed,9,1880
lynching,party,9,1880
short,time,9,1880
wife,murderer,9,1880
11,o'clock,8,1880
2,red,8,1880
county,ga,8,1880
dec,11,8,1880
friday,night,8,1880
sunday,night,8,1880
west,virginia,8,1880
10,o'clock,7,1880
armed,mob,7,1880
brute,lynched,7,1880
dead,body,7,1880
horrible,crime,7,1880
house,yard,7,1880
jury,returned,7,1880
months,ago,7,1880
nashville,tenn,7,1880
nights,ago,7,1880
san,francisco,7,1880
thursday,night,7,1880
wednesday,night,7,1880
april,29,6,1880
april,30,6,1880
armed,negroes,6,1880
city,marshal,6,1880
colored,girl,6,1880
colored,masons,6,1880
colored,people,6,1880
infuriated,mob,6,1880
july,14,6,1880
july,26,6,1880
mob,violence,6,1880
monday,morning,6,1880
national,bank,6,1880
nebraska,city,6,1880
prominent,citizen,6,1880
rapist,lynched,6,1880
recent,lynching,6,1880
smith,colored,6,1880
springfield,mo,6,1880
time,ago,6,1880
tuesday,night,6,1880
9,o'clock,5,1880
april,27,5,1880
april,28,5,1880
cornno,2,5,1880
county,miss,5,1880
dec,30,5,1880
drug,store,5,1880
hundred,armed,5,1880
indian,territory,5,1880
jennie,bowman,5,1880
july,6,5,1880
louisville,ky,5,1880
mexican,troops,5,1880
miles,east,5,1880
miles,north,5,1880
mob,hung,5,1880
negro,woman,5,1880
sarah,graham,5,1880
savannah,ga,5,1880
st,paul,5,1880
strong,guard,5,1880
sun,river,5,1880
telegraph,pole,5,1880
ten,days,5,1880
ten,miles,5,1880
wheatno,2,5,1880
white,cap,5,1880
white,lady,5,1880
woman,named,5,1880
yesterday,afternoon,5,1880
12,o'clock,4,1880
8,o'clock,4,1880
aged,12,4,1880
aged,16,4,1880
alex,crawford,4,1880
april,25,4,1880
attempted,assault,4,1880
attempted,rape,4,1880
aug,28,4,1880
ball,entering,4,1880
body,riddled,4,1880
boy,named,4,1880
brutal,murder,4,1880
brutally,assaulted,4,1880
brutally,murdered,4,1880
bullock,county,4,1880
chattanooga,tenn,4,1880
coger,colored,4,1880
colored,woman,4,1880
committed,suicide,4,1880
congressional,district,4,1880
