word1,word2,word3,n,decade
NA,NA,NA,3468,1890
by,a,mob,216,1890
the,lynching,of,119,1890
a,mob,of,113,1890
one,of,the,111,1890
of,the,mob,92,1890
was,taken,from,84,1890
taken,from,the,83,1890
the,murder,of,78,1890
to,a,tree,70,1890
the,united,states,61,1890
a,mob,and,60,1890
of,the,lynching,57,1890
negro,was,lynched,55,1890
from,the,jail,54,1890
lynched,by,a,54,1890
the,scene,of,53,1890
out,of,the,51,1890
a,negro,was,50,1890
lynching,of,the,50,1890
the,jail,and,48,1890
colored,was,lynched,47,1890
that,he,was,47,1890
the,hands,of,46,1890
the,grand,jury,45,1890
hanged,to,a,44,1890
of,the,negro,44,1890
of,the,men,42,1890
and,he,was,41,1890
the,county,jail,41,1890
the,negro,was,41,1890
to,the,jail,41,1890
and,it,is,40,1890
for,the,murder,40,1890
part,of,the,40,1890
the,people,of,40,1890
a,mob,lynched,39,1890
by,the,mob,38,1890
in,the,south,38,1890
members,of,the,38,1890
mob,and,hanged,38,1890
a,number,of,37,1890
of,the,jail,37,1890
the,negro,who,36,1890
to,have,been,36,1890
scene,of,the,35,1890
of,the,city,34,1890
taken,from,jail,34,1890
was,lynched,at,34,1890
a,negro,who,33,1890
he,had,been,33,1890
negroes,were,lynched,33,1890
of,the,united,33,1890
the,sheriff,and,32,1890
that,he,had,31,1890
the,jail,at,31,1890
of,a,mob,30,1890
of,the,state,30,1890
special,to,the,30,1890
to,lynch,the,30,1890
jail,by,a,29,1890
shot,and,killed,29,1890
there,is,no,29,1890
a,mob,at,28,1890
he,was,taken,28,1890
of,the,crime,28,1890
of,the,law,28,1890
of,the,most,28,1890
of,the,negroes,28,1890
in,front,of,27,1890
mob,and,lynched,27,1890
was,taken,to,27,1890
have,been,lynched,26,1890
him,to,a,26,1890
in,the,first,26,1890
o'clock,this,morning,26,1890
of,a,negro,26,1890
of,the,town,26,1890
the,body,of,26,1890
the,purpose,of,26,1890
to,lynch,him,26,1890
as,soon,as,25,1890
at,the,time,25,1890
hands,of,the,25,1890
in,this,city,25,1890
lynching,of,a,25,1890
of,the,murder,25,1890
there,was,a,25,1890
there,was,no,25,1890
was,lynched,by,25,1890
went,to,the,25,1890
a,white,woman,24,1890
some,of,the,24,1890
the,house,of,24,1890
up,to,the,24,1890
a,negro,named,23,1890
for,the,purpose,23,1890
in,the,jail,23,1890
in,the,lynching,23,1890
of,the,county,23,1890
the,mob,and,23,1890
were,taken,from,23,1890
who,had,been,23,1890
and,hanged,him,22,1890
and,it,was,22,1890
around,his,neck,22,1890
charged,with,the,22,1890
of,this,city,22,1890
the,fact,that,22,1890
the,indian,territory,22,1890
a,colored,man,21,1890
a,crowd,of,21,1890
and,hanged,to,21,1890
him,to,the,21,1890
murder,in,the,21,1890
of,the,court,21,1890
shot,to,death,21,1890
the,body,was,21,1890
the,men,were,21,1890
the,mob,was,21,1890
the,mob,who,21,1890
a,man,named,20,1890
a,white,man,20,1890
and,in,the,20,1890
by,a,negro,20,1890
for,safe,keeping,20,1890
front,of,the,20,1890
his,wife,and,20,1890
in,the,city,20,1890
it,is,said,20,1890
riddled,with,bullets,20,1890
the,first,degree,20,1890
the,man,who,20,1890
the,men,who,20,1890
the,town,of,20,1890
to,take,the,20,1890
two,of,the,20,1890
will,be,lynched,20,1890
a,few,days,19,1890
a,tree,and,19,1890
and,the,crowd,19,1890
back,to,the,19,1890
cause,of,the,19,1890
in,the,house,19,1890
it,is,not,19,1890
limb,of,a,19,1890
negroes,in,the,19,1890
night,by,a,19,1890
of,negroes,in,19,1890
of,the,people,19,1890
officers,of,the,19,1890
on,account,of,19,1890
taken,to,the,19,1890
that,it,was,19,1890
the,home,of,19,1890
the,limb,of,19,1890
with,the,murder,19,1890
a,tree,in,18,1890
and,that,the,18,1890
but,it,is,18,1890
hanged,by,a,18,1890
in,which,the,18,1890
on,the,night,18,1890
the,court,house,18,1890
the,death,of,18,1890
tree,in,the,18,1890
up,to,a,18,1890
where,he,was,18,1890
assault,on,a,17,1890
at,2,o'clock,17,1890
from,the,officers,17,1890
in,the,county,17,1890
it,will,be,17,1890
leader,of,the,17,1890
lynching,of,negroes,17,1890
the,crime,was,17,1890
the,jail,to,17,1890
were,lynched,at,17,1890
a,negro,murderer,16,1890
and,in,a,16,1890
and,the,mob,16,1890
at,the,hands,16,1890
hands,of,a,16,1890
mob,that,lynched,16,1890
morning,a,mob,16,1890
negro,who,was,16,1890
news,of,the,16,1890
scene,of,his,16,1890
strung,him,up,16,1890
that,it,is,16,1890
the,action,of,16,1890
the,house,and,16,1890
the,killing,of,16,1890
the,leader,of,16,1890
the,members,of,16,1890
the,mob,that,16,1890
the,mob,which,16,1890
the,night,of,16,1890
the,officers,of,16,1890
this,is,the,16,1890
this,morning,a,16,1890
to,the,scene,16,1890
was,lynched,in,16,1890
when,he,was,16,1890
a,charge,of,15,1890
a,negro,lynched,15,1890
a,posse,of,15,1890
a,special,to,15,1890
charge,of,the,15,1890
hanged,him,to,15,1890
he,did,not,15,1890
he,was,captured,15,1890
his,neck,and,15,1890
in,jail,at,15,1890
in,the,united,15,1890
in,the,woods,15,1890
last,night,and,15,1890
member,of,the,15,1890
of,a,tree,15,1890
people,of,the,15,1890
rope,around,his,15,1890
said,to,have,15,1890
take,its,course,15,1890
that,the,mob,15,1890
that,they,were,15,1890
the,charge,of,15,1890
the,lynching,was,15,1890
the,murderer,of,15,1890
the,negroes,were,15,1890
the,news,of,15,1890
the,wife,of,15,1890
three,negroes,were,15,1890
to,the,county,15,1890
a,few,minutes,14,1890
a,mob,took,14,1890
a,mob,was,14,1890
a,rope,around,14,1890
as,he,was,14,1890
at,the,jail,14,1890
at,the,stake,14,1890
body,of,the,14,1890
fact,that,the,14,1890
for,some,time,14,1890
in,new,orleans,14,1890
in,order,to,14,1890
it,is,the,14,1890
last,night,by,14,1890
negro,was,taken,14,1890
of,one,of,14,1890
of,the,lynchers,14,1890
one,of,them,14,1890
said,that,he,14,1890
said,to,be,14,1890
sheriff,and,his,14,1890
that,a,mob,14,1890
the,bodies,of,14,1890
the,crime,and,14,1890
the,jail,by,14,1890
the,mob,to,14,1890
the,name,of,14,1890
the,part,of,14,1890
the,sheriff,of,14,1890
the,state,of,14,1890
the,work,of,14,1890
there,is,a,14,1890
to,prevent,the,14,1890
to,the,effect,14,1890
was,arrested,and,14,1890
was,in,the,14,1890
was,one,of,14,1890
were,lynched,by,14,1890
who,was,lynched,14,1890
years,of,age,14,1890
a,member,of,13,1890
and,shot,to,13,1890
and,the,other,13,1890
as,to,the,13,1890
but,he,was,13,1890
columbia,s,c,13,1890
concerned,in,the,13,1890
for,an,assault,13,1890
from,jail,and,13,1890
from,jail,by,13,1890
he,was,arrested,13,1890
him,in,the,13,1890
in,the,hands,13,1890
man,who,was,13,1890
memphis,tenn,sept,13,1890
men,who,were,13,1890
negro,who,had,13,1890
negroes,have,been,13,1890
on,a,charge,13,1890
on,the,part,13,1890
part,in,the,13,1890
side,of,the,13,1890
the,case,of,13,1890
the,jail,here,13,1890
the,names,of,13,1890
the,presence,of,13,1890
the,prisoner,was,13,1890
the,vicinity,of,13,1890
to,a,limb,13,1890
to,the,limb,13,1890
to,the,lynching,13,1890
was,lynched,near,13,1890
was,shot,and,13,1890
when,the,mob,13,1890
would,have,been,13,1890
a,young,negro,12,1890
an,attempt,to,12,1890
chief,of,police,12,1890
county,jail,at,12,1890
hanging,to,a,12,1890
he,was,not,12,1890
in,the,air,12,1890
in,the,case,12,1890
in,the,face,12,1890
in,the,neighborhood,12,1890
into,their,own,12,1890
it,was,a,12,1890
men,of,the,12,1890
of,lynch,law,12,1890
of,the,crowd,12,1890
of,the,house,12,1890
of,the,indian,12,1890
of,the,murdered,12,1890
of,the,new,12,1890
of,the,victims,12,1890
on,the,ground,12,1890
soon,as,the,12,1890
story,of,the,12,1890
supposed,to,be,12,1890
the,burning,of,12,1890
the,door,and,12,1890
the,effect,that,12,1890
the,law,and,12,1890
the,two,men,12,1890
their,own,hands,12,1890
there,will,be,12,1890
three,negroes,lynched,12,1890
to,lynch,a,12,1890
to,the,woods,12,1890
up,in,the,12,1890
was,lynched,for,12,1890
who,attempted,to,12,1890
2,o'clock,this,11,1890
a,band,of,11,1890
a,murderer,lynched,11,1890
a,new,trial,11,1890
a,party,of,11,1890
a,rope,was,11,1890
a,telegraph,pole,11,1890
a,verdict,of,11,1890
and,sentenced,to,11,1890
and,when,the,11,1890
any,of,the,11,1890
as,it,was,11,1890
as,well,as,11,1890
assault,on,mrs,11,1890
