word1,word2,n,decade
NA,NA,333,1920
white,girl,29,1920
county,jail,28,1920
negro,lynched,23,1920
mob,lynches,18,1920
white,woman,18,1920
colored,people,15,1920
negro,charged,15,1920
grand,jury,14,1920
negroes,lynched,11,1920
national,association,10,1920
criminal,assault,9,1920
duluth,minn,9,1920
mob,bent,9,1920
deputy,sheriff,8,1920
lynch,law,8,1920
mob,hangs,8,1920
negro,press,8,1920
oklahoma,city,8,1920
body,riddled,7,1920
court,house,7,1920
ky,march,7,1920
mob,law,7,1920
mob,violence,7,1920
negro,workers,7,1920
american,citizens,6,1920
fort,worth,6,1920
jackson,miss,6,1920
miss,april,6,1920
mob,spirit,6,1920
national,guard,6,1920
telephone,pole,6,1920
united,press,6,1920
white,women,6,1920
black,workers,5,1920
city,jail,5,1920
colored,women,5,1920
days,ago,5,1920
hot,springs,5,1920
life,imprisonment,5,1920
macon,ga,5,1920
march,30,5,1920
minn,june,5,1920
negro,accused,5,1920
negro,murderer,5,1920
negroes,held,5,1920
north,carolina,5,1920
ruling,class,5,1920
san,francisco,5,1920
saturday,night,5,1920
senator,watson,5,1920
sept,1,5,1920
shreveport,la,5,1920
va,july,5,1920
west,virginia,5,1920
white,workers,5,1920
woodford,county,5,1920
worth,tex,5,1920
aged,white,4,1920
alleged,slayer,4,1920
antilynching,bill,4,1920
armed,mob,4,1920
aug,3,4,1920
city,okla,4,1920
county,attorney,4,1920
dyer,antilynching,4,1920
ga,nov,4,1920
grant,smith,4,1920
hangs,negro,4,1920
herman,arthur,4,1920
july,3,4,1920
july,7,4,1920
june,16,4,1920
june,17,4,1920
kan,april,4,1920
late,yesterday,4,1920
lexington,ky,4,1920
lynches,negro,4,1920
lynching,mob,4,1920
masked,mob,4,1920
maysville,ky,4,1920
national,convention,4,1920
national,guards,4,1920
negro,prisoner,4,1920
negro,woman,4,1920
negroes,convicted,4,1920
paris,texas,4,1920
rock,ark,4,1920
santa,rosa,4,1920
special,grand,4,1920
tex,dec,4,1920
tobacco,va,4,1920
tuskegee,institute,4,1920
va,aug,4,1920
violet,wood,4,1920
west,indies,4,1920
white,people,4,1920
wouldbe,lynchers,4,1920
1,killing,3,1920
acting,governor,3,1920
april,2,3,1920
april,28,3,1920
april,4,3,1920
attacking,white,3,1920
attempted,lynching,3,1920
august,17,3,1920
class,battles,3,1920
col,symonds,3,1920
colonel,symonds,3,1920
day,night,3,1920
feb,10,3,1920
feb,26,3,1920
firmly,courageous,3,1920
fla,dec,3,1920
fleming,county,3,1920
found,guilty,3,1920
ga,aug,3,1920
ga,sept,3,1920
george,robertson,3,1920
hattiesburg,miss,3,1920
hope,ark,3,1920
house,yard,3,1920
houston,county,3,1920
illegal,executions,3,1920
iron,bar,3,1920
jake,brooks,3,1920
jan,4,3,1920
jim,reed,3,1920
joe,jordan,3,1920
johnson,negro,3,1920
jordan,negroes,3,1920
july,1,3,1920
july,22,3,1920
july,6,3,1920
june,15,3,1920
june,3,3,1920
key,west,3,1920
killing,officer,3,1920
klux,klan,3,1920
left,wing,3,1920
legal,protection,3,1920
life,sentence,3,1920
lige,daniels,3,1920
lynched,negro,3,1920
lynching,bee,3,1920
lynching,party,3,1920
lynching,statistics,3,1920
machine,guns,3,1920
march,16,3,1920
marion,county,3,1920
martial,law,3,1920
meridian,miss,3,1920
mill,owners,3,1920
miss,holt,3,1920
miss,july,3,1920
miss,violet,3,1920
mob,broke,3,1920
mob,hanged,3,1920
mob,lynched,3,1920
mob,stormed,3,1920
mob,takes,3,1920
monday,night,3,1920
months,ago,3,1920
murderer,lynched,3,1920
negro,alleged,3,1920
negro,arrested,3,1920
negro,boy,3,1920
negro,hanged,3,1920
negro,lynching,3,1920
negro,mob,3,1920
negro,postal,3,1920
negro,slayer,3,1920
negro,strikebreaker,3,1920
oak,tree,3,1920
oct,15,3,1920
oct,16,3,1920
okla,sept,3,1920
person,county,3,1920
pittsburg,kan,3,1920
poor,farm,3,1920
postal,clerk,3,1920
promised,land,3,1920
race,prejudice,3,1920
race,riots,3,1920
railroad,bridge,3,1920
raymond,bird,3,1920
richard,james,3,1920
salt,lake,3,1920
school,teacher,3,1920
sheriff,john,3,1920
shoot,straight,3,1920
south,carolina,3,1920
supreme,court,3,1920
tex,aug,3,1920
tuesday,night,3,1920
unborn,child,3,1920
unidentified,negro,3,1920
walker,county,3,1920
wife,slayer,3,1920
william,baird,3,1920
workers,union,3,1920
1,james,2,1920
1,shooting,2,1920
10,o'clock,2,1920
16th,infantry,2,1920
17yearold,white,2,1920
27,manuel,2,1920
30,grant,2,1920
4,leslie,2,1920
4,robert,2,1920
5,jim,2,1920
50,feet,2,1920
8,negroes,2,1920
aged,negro,2,1920
airy,negro,2,1920
alleged,attack,2,1920
alleged,attempt,2,1920
alleged,confession,2,1920
alleged,crime,2,1920
alleged,illegal,2,1920
american,people,2,1920
american,soldiers,2,1920
angry,mob,2,1920
april,15,2,1920
april,20,2,1920
ark,dec,2,1920
ark,march,2,1920
armed,force,2,1920
armed,guards,2,1920
army,officers,2,1920
arrested,charged,2,1920
arrested,late,2,1920
arrington,superintendent,2,1920
athens,ga,2,1920
atlanta,ga,2,1920
attempted,rape,2,1920
attorney,shotwell,2,1920
aug,20,2,1920
aug,5,2,1920
augusta,ga,2,1920
aunt,miss,2,1920
awaiting,trial,2,1920
baldwin,county,2,1920
bandit,gang,2,1920
barnstable,mass,2,1920
bessemer,city,2,1920
bessemer,districts,2,1920
boot,factories,2,1920
brandon,miss,2,1920
brownie,tuttle,2,1920
brunswick,county,2,1920
brutal,assault,2,1920
bullets,cut,2,1920
business,streets,2,1920
capitalist,class,2,1920
casey,jones,2,1920
castle,gate,2,1920
catholic,curate,2,1920
center,tex,2,1920
chairman,brandegee,2,1920
charles,valente,2,1920
circuit,court,2,1920
city,hall,2,1920
city,park,2,1920
civil,war,2,1920
clara,kimball,2,1920
class,nature,2,1920
claude,chandler,2,1920
col,charles,2,1920
collect,"7,500",2,1920
colored,americans,2,1920
committee,investigating,2,1920
communist,party,2,1920
company,plant,2,1920
confessed,murderer,2,1920
conquering,purpose,2,1920
coroner's,jury,2,1920
county,farm,2,1920
county,officers,2,1920
daisy,wilson,2,1920
danville,va,2,1920
dec,10,2,1920
dec,23,2,1920
dec,24,2,1920
dec,27,2,1920
democrat,georgia,2,1920
democrats,assembled,2,1920
democrats,paid,2,1920
deputy,sheriffs,2,1920
divorce,suit,2,1920
doors,wrecked,2,1920
dublin,ga,2,1920
duluth,june,2,1920
eastern,mail,2,1920
economic,equality,2,1920
ed,roach,2,1920
elmore,postmaster,2,1920
enterprise,miss.james,2,1920
executions,led,2,1920
fair,trial,2,1920
fayette,county,2,1920
feb,5,2,1920
federal,court,2,1920
federal,government,2,1920
fighting,spirit,2,1920
filed,suit,2,1920
fined,400,2,1920
fire,hose,2,1920
florida,mob,2,1920
fort,scott,2,1920
fourteenyearold,white,2,1920
frank,campione,2,1920
frank,martin,2,1920
freeman,clark,2,1920
friday,night,2,1920
ga,feb,2,1920
ga,june,2,1920
george,boyd,2,1920
georgia,leads,2,1920
georgia,lynching,2,1920
georgia,negro,2,1920
girl,identified,2,1920
gov,walker,2,1920
governor,edwards,2,1920
governor,morrow's,2,1920
governor,robertson,2,1920
grand,jurors,2,1920
greenville,ala,2,1920
guard,duty,2,1920
hamilton,ala,2,1920
hanged,july,2,1920
harrison,ark,2,1920
hastily,organized,2,1920
highway,officer,2,1920
hospital,suffering,2,1920
ia,july,2,1920
incendiary,talk,2,1920
ing,party,2,1920
investigating,campaign,2,1920
ireland,oct,2,1920
jail,saturday,2,1920
jan,18,2,1920
jan,3,2,1920
january,13,2,1920
january,4,2,1920
jasper,ala,2,1920
jesup,ga,2,1920
joe,lynch,2,1920
john,carter,2,1920
john,glover,2,1920
john,henry,2,1920
johnson,replied,2,1920
johnson,told,2,1920
judge,sears,2,1920
july,23,2,1920
july,26,2,1920
july,8,2,1920
june,14,2,1920
june,19,2,1920
june,22,2,1920
jury's,verdict,2,1920
klan,organizer,2,1920
ku,klux,2,1920
ky,feb,2,1920
la,feb,2,1920
la,jan,2,1920
lake,city,2,1920
law,1,2,1920
lawless,violence,2,1920
lee,green,2,1920
liberties,union,2,1920
lincoln,johnson,2,1920
local,officers,2,1920
lynch,negro,2,1920
lynched,joe,2,1920
lynched,yesterday,2,1920
lynching,george,2,1920
lynching,negro,2,1920
lynchings,occurred,2,1920
