word1,word2,n,decade
NA,NA,441,post1960
black,press,34,post1960
black,people,18,post1960
grand,jury,17,post1960
civil,war,13,post1960
pearl,river,12,post1960
capital,punishment,11,post1960
civil,rights,10,post1960
south,carolina,9,post1960
supreme,court,9,post1960
lynch,mobs,8,post1960
white,woman,8,post1960
anti,lynching,7,post1960
degree,lynching,7,post1960
lynch,mob,7,post1960
black,papers,6,post1960
current,issue,6,post1960
george,leonard,6,post1960
jim,crow,6,post1960
poplarville,miss,6,post1960
southern,white,6,post1960
white,mob,6,post1960
atty,gen,5,post1960
bullet,ridden,5,post1960
editor,declared,5,post1960
free,speech,5,post1960
leonard,jr,5,post1960
local,attitude,5,post1960
mack,charles,5,post1960
mack,parker,5,post1960
magazine,georgia,5,post1960
mississippi,story,5,post1960
mob,lynched,5,post1960
negro,mack,5,post1960
recent,visit,5,post1960
ridden,body,5,post1960
washington,jr,5,post1960
white,mobs,5,post1960
white,press,5,post1960
world,war,5,post1960
beach,section,4,post1960
biloxi,miss,4,post1960
charles,parker,4,post1960
county,jail,4,post1960
federal,grand,4,post1960
feelings,leonard,4,post1960
frederick,douglass,4,post1960
georgia,born,4,post1960
grocery,store,4,post1960
howard,beach,4,post1960
klux,klan,4,post1960
ku,klux,4,post1960
martin,luther,4,post1960
mob,execution,4,post1960
negro,leaders,4,post1960
negro,prisoner,4,post1960
rights,act,4,post1960
tional,headlines,4,post1960
truck,driver,4,post1960
white,america,4,post1960
white,youth,4,post1960
133rd,street,3,post1960
46,negroes,3,post1960
absentee,white,3,post1960
african,american,3,post1960
afro,american,3,post1960
american,history,3,post1960
amsterdam,news,3,post1960
angela,davis,3,post1960
bernard,goetz,3,post1960
black,affairs,3,post1960
black,america,3,post1960
black,community,3,post1960
cautious,recommendations,3,post1960
city,encamp,3,post1960
civil,liberties,3,post1960
cliff,sessions,3,post1960
congressional,impatience,3,post1960
conscious,minds,3,post1960
death,penalty,3,post1960
dr,howard,3,post1960
emotional,assessment,3,post1960
excessive,violence,3,post1960
executive,director,3,post1960
francis,kennedy,3,post1960
governor,bushnell,3,post1960
gun,manly,3,post1960
hate,crimes,3,post1960
homicide,rates,3,post1960
human,decency,3,post1960
human,mind,3,post1960
income,slum,3,post1960
innocent,people,3,post1960
jackson,18,3,post1960
jail,cell,3,post1960
john,brown,3,post1960
john,brown's,3,post1960
kosovo,refugees,3,post1960
lapse,ghetto,3,post1960
larville,jail,3,post1960
legalism,knocked,3,post1960
leonard,wrote,3,post1960
linn,washington,3,post1960
magazine,editor,3,post1960
met,death,3,post1960
mob,lynching,3,post1960
moral,lapse,3,post1960
nation,born,3,post1960
negro,press,3,post1960
newberry,county,3,post1960
north,carolina,3,post1960
parker,lynching,3,post1960
patient,search,3,post1960
philadelphia,tribune,3,post1960
pittsburgh,courier,3,post1960
police,department,3,post1960
police,power,3,post1960
poor,people,3,post1960
poplarville,jail,3,post1960
pregnant,white,3,post1960
public,indignation,3,post1960
quiet,patient,3,post1960
race,relations,3,post1960
racial,injustice,3,post1960
rights,movement,3,post1960
river,county,3,post1960
s.c,upi,3,post1960
senator,robert,3,post1960
single,conviction,3,post1960
single,minded,3,post1960
southern,ritual,3,post1960
spasms,history,3,post1960
status,quo,3,post1960
tor,george,3,post1960
ugly,matter,3,post1960
urban,riots,3,post1960
voting,rights,3,post1960
