word1,word2,n,decade
NA,NA,394,pre1900
christian,educator,15,pre1900
richmond,va,12,pre1900
colored,people,10,pre1900
white,women,8,pre1900
broad,st,7,pre1900
grand,jury,7,pre1900
human,nature,7,pre1900
colored,race,6,pre1900
lynch,law,5,pre1900
ox,marrow,5,pre1900
st,richmond,5,pre1900
va,sept,5,pre1900
50,cents,4,pre1900
atlanta,ga,4,pre1900
day,evening,4,pre1900
legally,qualified,4,pre1900
nights,ago,4,pre1900
oct,25,4,pre1900
ozonized,ox,4,pre1900
public,opinion,4,pre1900
qualified,voters,4,pre1900
van,wyck,4,pre1900
white,people,4,pre1900
25,cents,3,pre1900
8,o'clock,3,pre1900
baptist,church,3,pre1900
byrdstreet,station,3,pre1900
civilized,world,3,pre1900
colored,citizens,3,pre1900
fair,trial,3,pre1900
free,address,3,pre1900
governor,chamberlain,3,pre1900
human,life,3,pre1900
largest,circulation,3,pre1900
mob,law,3,pre1900
national,policy,3,pre1900
negro,supremacy,3,pre1900
negro's,accusers,3,pre1900
oct,27,3,pre1900
peoria,ill,3,pre1900
prefer,dissolution,3,pre1900
sept,16,3,pre1900
sept,20,3,pre1900
sept,21,3,pre1900
south,carolina,3,pre1900
southern,people,3,pre1900
special,notice,3,pre1900
st,louis,3,pre1900
ten,days,3,pre1900
trade,marks,3,pre1900
white,girl,3,pre1900
white,population,3,pre1900
18th,street,2,pre1900
361,broadway,2,pre1900
3rd,thursday,2,pre1900
4th,monday,2,pre1900
4th,tuesday,2,pre1900
absolutely,safe,2,pre1900
afro,american,2,pre1900
alex,crawford,2,pre1900
alleged,offense,2,pre1900
american,citizen,2,pre1900
american,republic,2,pre1900
arrives,elba,2,pre1900
ascertain,free,2,pre1900
atrocious,crime,2,pre1900
beautifully,illustrated,2,pre1900
bishop,haygood,2,pre1900
brought,forward,2,pre1900
call,richmond,2,pre1900
christian,nation,2,pre1900
cigars,tobacco,2,pre1900
cleveland,steam,2,pre1900
colored,man's,2,pre1900
colored,rapist,2,pre1900
common,sense,2,pre1900
communications,strictly,2,pre1900
cordially,invited,2,pre1900
county,miss,2,pre1900
court,yesterday,2,pre1900
dawson,city,2,pre1900
