word1,word2,n,decade
NA,NA,363,1910s
colored,people,31,1910s
mob,violence,21,1910s
lynch,law,16,1910s
national,association,14,1910s
south,carolina,12,1910s
chicago,defender,8,1910s
jim,crow,7,1910s
president,wilson,7,1910s
st,louis,7,1910s
vice,president,7,1910s
white,woman,7,1910s
mob,lynched,6,1910s
east,st,5,1910s
estill,springs,5,1910s
mary,turner,5,1910s
negroes,lynched,5,1910s
white,people,5,1910s
american,lynching,4,1910s
baton,rouge,4,1910s
berriman,street,4,1910s
boston,mass,4,1910s
canfield,fisher,4,1910s
carolina,1,4,1910s
colored,americans,4,1910s
county,jail,4,1910s
court,house,4,1910s
dorothy,canfield,4,1910s
found,guilty,4,1910s
governor,dorsey,4,1910s
january,1,4,1910s
laboring,class,4,1910s
lowndes,counties,4,1910s
lynching,bee,4,1910s
mob,law,4,1910s
mob,rule,4,1910s
negro,soldiers,4,1910s
persons,lynched,4,1910s
pure,blood,4,1910s
recently,held,4,1910s
st,barnabas,4,1910s
sunday,night,4,1910s
telephone,pole,4,1910s
von,arnim,4,1910s
weak,kneed,4,1910s
wetumpka,jail,4,1910s
white,race,4,1910s
wm,white,4,1910s
1,stealing,3,1910s
afro,americans,3,1910s
american,citizens,3,1910s
astonished,amazed,3,1910s
bar,association,3,1910s
black,americans,3,1910s
body,riddled,3,1910s
chris,jackson,3,1910s
circuit,court,3,1910s
conference,hall,3,1910s
crow,law,3,1910s
defender,special,3,1910s
evening,march,3,1910s
feb,10,3,1910s
friday,evening,3,1910s
ga,oct,3,1910s
gen,von,3,1910s
george,weed,3,1910s
governor,hugh,3,1910s
louisiana,governor,3,1910s
louisiana,proposes,3,1910s
lynching,evil,3,1910s
march,3,3,1910s
mass,meet,3,1910s
mob,lynches,3,1910s
mob,murder,3,1910s
monroe,la,3,1910s
negro,women,3,1910s
north,carolina,3,1910s
page,1,3,1910s
press,dispatches,3,1910s
race,riot,3,1910s
republican,league,3,1910s
resolution,calling,3,1910s
san,antonio,3,1910s
shillady,secretary,3,1910s
single,copy,3,1910s
southern,white,3,1910s
total,63,3,1910s
tuskegee,institute,3,1910s
white,business,3,1910s
white,girl,3,1910s
york,city,3,1910s
york,makes,3,1910s
1,florida,2,1910s
1,north,2,1910s
1,oklahoma,2,1910s
1,south,2,1910s
1,tennessee,2,1910s
10,30,2,1910s
2,white,2,1910s
24,1918,2,1910s
25,1918,2,1910s
3,white,2,1910s
"3,998",lynched,2,1910s
49,cornhill,2,1910s
abdul,baha,2,1910s
afro,american,2,1910s
ager,wm,2,1910s
ala,jan,2,1910s
alma,weed,2,1910s
amazed,abhorrence,2,1910s
american,soldiers,2,1910s
american,white,2,1910s
annual,fair,2,1910s
arkansas,5,2,1910s
athens,ga,2,1910s
atlanta,ga,2,1910s
attempted,murder,2,1910s
attempted,rape,2,1910s
aug,19,2,1910s
aug,29,2,1910s
barney,ga,2,1910s
bethel,church,2,1910s
boston,globe,2,1910s
brought,merited,2,1910s
building,fund,2,1910s
bulletin,june,2,1910s
burned,alive,2,1910s
business,mer,2,1910s
buy,homes,2,1910s
cago,defender,2,1910s
caused,mayor,2,1910s
chime,riley,2,1910s
christian,endeavor,2,1910s
church,rev,2,1910s
citizens,discuss,2,1910s
citizens,solo,2,1910s
city,hall,2,1910s
clenched,fist,2,1910s
coatesville,lynching,2,1910s
coatesville,pa,2,1910s
cold,blood,2,1910s
collinsville,ill,2,1910s
colored,citizens,2,1910s
colored,population,2,1910s
colored,soldier,2,1910s
colored,soldiers,2,1910s
colored,women,2,1910s
commit,lynching,2,1910s
committee,ap,2,1910s
conditions,planned,2,1910s
continental,press,2,1910s
country,entered,2,1910s
county,court,2,1910s
courthouse,yard,2,1910s
crow,cars,2,1910s
crowd,attended,2,1910s
cussion,consumed,2,1910s
day,night,2,1910s
days,ago,2,1910s
dean,street,2,1910s
dear,god,2,1910s
dear,senator,2,1910s
dear,sir,2,1910s
devert's,body,2,1910s
disgraceful,evil,2,1910s
disgusting,scene,2,1910s
dr,johnston,2,1910s
dre,takti,2,1910s
dreamland,hall,2,1910s
ed,satisfactorily,2,1910s
education,havé,2,1910s
eleven,authenticated,2,1910s
eleven,persons,2,1910s
eleven,victims,2,1910s
eligible,colored,2,1910s
elmore,county,2,1910s
entered,pleas,2,1910s
