"","file_id2","newspaper_name","newspaper_state","date","year","month","day","page","edition","mod_id","unnamed_0","file_id","article_id","sn","url","filename","black_press"
"1","8116_0",NA,"Maryland",1899-04-28,1899,4,28,"seq-2","ed-1",1,5136,8116,0,"sn89060136","https://articleextractor.org/pages/8116/mdu_belair_ver01/sn89060136/4/28/ed-1/seq-2/1","8116_0.txt",NA
"2","8127_0","Evening journal (Wilmington, Del...)","Delaware",1912-06-25,1912,6,25,"seq-7","ed-1",1,1854,8127,0,"sn85042354","https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/6/25/ed-1/seq-7/1","8127_0.txt",NA
"3","8129_0",NA,"Maryland",1896-02-07,1896,2,7,"seq-6","ed-1",1,5196,8129,0,"sn89060092","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/2/7/ed-1/seq-6/1","8129_0.txt",NA
"4","8137_0","Ladysmith news-budget (Ladysmith, Rusk...)","Wisconsin",1913-03-07,1913,3,7,"seq-6","ed-1",1,13317,8137,0,"sn85040245","https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1","8137_0.txt",NA
"5","8142_0",NA,"Michigan",1896-03-07,1896,3,7,"seq-2","ed-1",1,5525,8142,0,"sn96077142","https://articleextractor.org/pages/8142/mimtptc_jonesville_ver01/sn96077142/3/7/ed-1/seq-2/1","8142_0.txt",NA
"6","8144_0","Wheeling register (Wheeling, W. Va...)","West Virginia",1896-01-14,1896,1,14,"seq-1","ed-1",1,13495,8144,0,"sn86092518","https://articleextractor.org/pages/8144/wvu_isner_ver01/sn86092518/1/14/ed-1/seq-1/1","8144_0.txt",NA
"7","8149_0","The Salt Lake herald (Salt Lake City ...)","Utah",1908-01-03,1908,1,3,"seq-2","ed-1",1,11666,8149,0,"sn85058130","https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1/3/ed-1/seq-2/1","8149_0.txt",NA
"8","8153_0","The Waco evening news (Waco, Tex.)","Texas",1893-09-21,1893,9,21,"seq-3","ed-1",1,11167,8153,0,"sn86088201","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1","8153_0.txt",NA
"9","8153_1","The Waco evening news (Waco, Tex.)","Texas",1893-09-21,1893,9,21,"seq-3","ed-1",1,11169,8153,1,"sn86088201","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/9/21/ed-1/seq-3/1","8153_1.txt",NA
"10","8155_0","The Hope pioneer (Hope, N.D.)","North Dakota",1893-08-04,1893,8,4,"seq-2","ed-1",1,8459,8155,0,"sn87096037","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1","8155_0.txt",NA
"11","8155_1","The Hope pioneer (Hope, N.D.)","North Dakota",1893-08-04,1893,8,4,"seq-2","ed-1",1,8462,8155,1,"sn87096037","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1","8155_1.txt",NA
"12","8155_2","The Hope pioneer (Hope, N.D.)","North Dakota",1893-08-04,1893,8,4,"seq-2","ed-1",1,8460,8155,2,"sn87096037","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1","8155_2.txt",NA
"13","8155_3","The Hope pioneer (Hope, N.D.)","North Dakota",1893-08-04,1893,8,4,"seq-2","ed-1",1,8461,8155,3,"sn87096037","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/8/4/ed-1/seq-2/1","8155_3.txt",NA
"14","8165_0","Martinsburg herald (Martinsburg, W....)","West Virginia",1891-04-04,1891,4,4,"seq-1","ed-1",1,13376,8165,0,"sn85059533","https://articleextractor.org/pages/8165/wvu_boros_ver02/sn85059533/4/4/ed-1/seq-1/1","8165_0.txt",NA
"15","8166_0","The Grenada sentinel (Grenada, Miss.)","Mississippi",1893-09-30,1893,9,30,"seq-2","ed-1",1,6980,8166,0,"sn85034375","https://articleextractor.org/pages/8166/msar_eyelet_ver02/sn85034375/9/30/ed-1/seq-2/1","8166_0.txt",NA
"16","8169_0","The evening world (New York, N.Y.)","New York",1891-04-28,1891,4,28,"seq-2","ed-2",1,9143,8169,0,"sn83030193","https://articleextractor.org/pages/8169/nn_isahakyan_ver01/sn83030193/4/28/ed-2/seq-2/1","8169_0.txt",NA
"17","8173_0",NA,"Nebraska",1891-10-10,1891,10,10,"seq-1","ed-1",1,7431,8173,0,"sn99021999","https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/10/10/ed-1/seq-1/1","8173_0.txt",NA
"18","8176_0","Waterbury evening Democrat (Waterbury, Conn...)","Connecticut",1891-10-30,1891,10,30,"seq-1","ed-1",1,1490,8176,0,"sn94053256","https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/10/30/ed-1/seq-1/1","8176_0.txt",NA
"19","8180_0","The Hope pioneer (Hope, N.D.)","North Dakota",1892-11-04,1892,11,4,"seq-2","ed-2",1,8457,8180,0,"sn87096037","https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/11/4/ed-2/seq-2/1","8180_0.txt",NA
"20","8181_0","St. Paul daily globe (Saint Paul, Min...)","Minnesota",1891-10-04,1891,10,4,"seq-1","ed-1",1,5907,8181,0,"sn90059522","https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/10/4/ed-1/seq-1/1","8181_0.txt",NA
"21","8183_0","The Grenada sentinel (Grenada, Miss.)","Mississippi",1889-09-21,1889,9,21,"seq-2","ed-1",1,6977,8183,0,"sn85034375","https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/9/21/ed-1/seq-2/1","8183_0.txt",NA
"22","8186_0","The enterprise (Wellington, Ohi...)","Ohio",1893-09-27,1893,9,27,"seq-6","ed-1",1,9497,8186,0,"sn84028272","https://articleextractor.org/pages/8186/ohi_cousteau_ver02/sn84028272/9/27/ed-1/seq-6/1","8186_0.txt",NA
"23","8187_0","Arizona republican (Phoenix, Ariz.)","Arizona",1892-01-15,1892,1,15,"seq-5","ed-1",1,1024,8187,0,"sn84020558","https://articleextractor.org/pages/8187/az_coyote_ver01/sn84020558/1/15/ed-1/seq-5/1","8187_0.txt",NA
"24","8188_0","The intelligencer (Lexington, Mo.)","Missouri",1890-09-06,1890,9,6,"seq-3","ed-1",1,6472,8188,0,"sn93060412","https://articleextractor.org/pages/8188/mohi_eeyore_ver01/sn93060412/9/6/ed-1/seq-3/1","8188_0.txt",NA
"25","8189_0",NA,"Texas",1887-02-03,1887,2,3,"seq-6","ed-1",1,11414,8189,0,"sn86064205","https://articleextractor.org/pages/8189/txdn_echo_ver03/sn86064205/2/3/ed-1/seq-6/1","8189_0.txt",NA
"26","8190_0","The Topeka state journal (Topeka, Kansas)","Kansas",1910-09-03,1910,9,3,"seq-12","ed-1",1,4229,8190,0,"sn82016014","https://articleextractor.org/pages/8190/khi_edelbrock_ver01/sn82016014/9/3/ed-1/seq-12/1","8190_0.txt",NA
"27","8191_0","St. Paul daily globe (Saint Paul, Min...)","Minnesota",1893-08-29,1893,8,29,"seq-4","ed-1",1,6019,8191,0,"sn90059522","https://articleextractor.org/pages/8191/mnhi_gonvick_ver01/sn90059522/8/29/ed-1/seq-4/1","8191_0.txt",NA
"28","8192_0","The Salt Lake herald (Salt Lake City ...)","Utah",1887-07-28,1887,7,28,"seq-1","ed-1",1,11683,8192,0,"sn85058130","https://articleextractor.org/pages/8192/uuml_griffith_ver01/sn85058130/7/28/ed-1/seq-1/1","8192_0.txt",NA
"29","8193_0","The Evening critic (Washington, D.C...)","District of Columbia",1884-01-17,1884,1,17,"seq-1","ed-1",1,2112,8193,0,"sn82014424","https://articleextractor.org/pages/8193/dlc_franklin_ver01/sn82014424/1/17/ed-1/seq-1/1","8193_0.txt",NA
"30","8194_0",NA,"South Dakota",1887-11-17,1887,11,17,"seq-2","ed-1",1,10603,8194,0,"sn98062948","https://articleextractor.org/pages/8194/sdhi_imbe_ver01/sn98062948/11/17/ed-1/seq-2/1","8194_0.txt",NA
"31","8196_0",NA,"District of Columbia",1887-06-14,1887,6,14,"seq-1","ed-1",2,1983,8196,0,"sn86053573","https://articleextractor.org/pages/8196/dlc_chester_ver02/sn86053573/6/14/ed-1/seq-1/2","8196_0.txt",NA
"32","8197_0","The Russellville Democrat (Russellville, A...)","Arkansas",1893-11-30,1893,11,30,"seq-2","ed-1",1,656,8197,0,"sn84023017","https://articleextractor.org/pages/8197/arhi_igglybuff_ver01/sn84023017/11/30/ed-1/seq-2/1","8197_0.txt",NA
"33","8200_0","Tensas gazette (St. Joseph, La.)","Louisiana",1909-04-30,1909,4,30,"seq-4","ed-1",1,5123,8200,0,"sn87090131","https://articleextractor.org/pages/8200/lu_roulette_ver01/sn87090131/4/30/ed-1/seq-4/1","8200_0.txt",NA
"34","8201_0","The News-Herald (Hillsboro, High...)","Ohio",1887-02-10,1887,2,10,"seq-2","ed-1",1,9829,8201,0,"sn85038161","https://articleextractor.org/pages/8201/ohi_india_ver01/sn85038161/2/10/ed-1/seq-2/1","8201_0.txt",NA
"35","8202_0","The Emporia weekly news (Emporia, Kan.)","Kansas",1885-07-02,1885,7,2,"seq-1","ed-1",1,4117,8202,0,"sn85030221","https://articleextractor.org/pages/8202/khi_brown_ver01/sn85030221/7/2/ed-1/seq-1/1","8202_0.txt",NA
"36","8204_0","The Cheyenne daily leader (Cheyenne, Wyo.) 1887-1895","Wyoming",1888-10-28,1888,10,28,"seq-1","ed-1",2,13593,8204,0,"sn86072173","https://articleextractor.org/pages/8204/wyu_calpet_ver02/sn86072173/10/28/ed-1/seq-1/2","8204_0.txt",NA
"37","8207_0","New-York tribune (New York [N.Y.])","New York",1888-12-27,1888,12,27,"seq-4","ed-1",2,2319,8207,0,"sn83030214","https://articleextractor.org/pages/8207/dlc_mazda_ver01/sn83030214/12/27/ed-1/seq-4/2","8207_0.txt",NA
