"","newspaper_state_clean","newspaper_name","n"
"1","GA","Americus times-recorder",183
"2","GA","Atlanta Georgian",50
"3","GA","Atlanta semi-weekly journal.",13
"4","GA","Atlanta tri-weekly journal",30
"5","GA","People's party paper",10
"6","GA","The Atlanta constitution",113
"7","GA","The Brunswick daily news",9
"8","GA","The Brunswick news",45
"9","GA","The Brunswick times",6
"10","GA","The Brunswick times-call",3
"11","GA","The Jeffersonian",50
"12","GA","The Savannah morning news.",11
"13","GA","The morning news",463
"14","GA","Watson's weekly Jeffersonian",2
"15","GA","Weekly Jeffersonian",3
"16","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",6
