"","newspaper_state_clean","newspaper_name","year","n"
"1","GA","Americus times-recorder",1900,1
"2","GA","Americus times-recorder",1901,12
"3","GA","Americus times-recorder",1902,15
"4","GA","Americus times-recorder",1903,15
"5","GA","Americus times-recorder",1904,21
"6","GA","Americus times-recorder",1905,11
"7","GA","Americus times-recorder",1906,23
"8","GA","Americus times-recorder",1907,8
"9","GA","Americus times-recorder",1908,4
"10","GA","Americus times-recorder",1909,5
"11","GA","Americus times-recorder",1910,10
"12","GA","Americus times-recorder",1911,10
"13","GA","Americus times-recorder",1912,8
"14","GA","Americus times-recorder",1913,8
"15","GA","Americus times-recorder",1914,2
"16","GA","Americus times-recorder",1915,1
"17","GA","Americus times-recorder",1916,2
"18","GA","Americus times-recorder",1917,3
"19","GA","Americus times-recorder",1918,2
"20","GA","Americus times-recorder",1919,5
"21","GA","Americus times-recorder",1920,4
"22","GA","Americus times-recorder",1921,2
"23","GA","Americus times-recorder",1922,1
"24","GA","Americus times-recorder",1923,3
"25","GA","Americus times-recorder",1924,4
"26","GA","Americus times-recorder",1925,3
"27","GA","Atlanta Georgian",1912,23
"28","GA","Atlanta Georgian",1913,26
"29","GA","Atlanta Georgian",1914,1
"30","GA","Atlanta semi-weekly journal.",1901,1
"31","GA","Atlanta semi-weekly journal.",1902,1
"32","GA","Atlanta semi-weekly journal.",1909,1
"33","GA","Atlanta semi-weekly journal.",1910,2
"34","GA","Atlanta semi-weekly journal.",1911,1
"35","GA","Atlanta semi-weekly journal.",1912,1
"36","GA","Atlanta semi-weekly journal.",1916,2
"37","GA","Atlanta semi-weekly journal.",1918,3
"38","GA","Atlanta semi-weekly journal.",1919,1
"39","GA","Atlanta tri-weekly journal",1920,1
"40","GA","Atlanta tri-weekly journal",1921,7
"41","GA","Atlanta tri-weekly journal",1922,10
"42","GA","Atlanta tri-weekly journal",1923,8
"43","GA","Atlanta tri-weekly journal",1924,4
"44","GA","People's party paper",1892,3
"45","GA","People's party paper",1896,3
"46","GA","People's party paper",1897,4
"47","GA","The Atlanta constitution",1887,3
"48","GA","The Atlanta constitution",1888,14
"49","GA","The Atlanta constitution",1892,7
"50","GA","The Atlanta constitution",1893,11
"51","GA","The Atlanta constitution",1894,13
"52","GA","The Atlanta constitution",1896,3
"53","GA","The Atlanta constitution",1897,5
"54","GA","The Atlanta constitution",1898,6
"55","GA","The Atlanta constitution",1900,15
"56","GA","The Atlanta constitution",1902,1
"57","GA","The Atlanta constitution",1903,35
"58","GA","The Brunswick daily news",1903,2
"59","GA","The Brunswick daily news",1904,6
"60","GA","The Brunswick daily news",1906,1
"61","GA","The Brunswick news",1902,4
"62","GA","The Brunswick news",1907,1
"63","GA","The Brunswick news",1908,5
"64","GA","The Brunswick news",1909,3
"65","GA","The Brunswick news",1910,6
"66","GA","The Brunswick news",1911,4
"67","GA","The Brunswick news",1912,3
"68","GA","The Brunswick news",1913,2
"69","GA","The Brunswick news",1915,2
"70","GA","The Brunswick news",1916,4
"71","GA","The Brunswick news",1917,1
"72","GA","The Brunswick news",1920,3
"73","GA","The Brunswick news",1921,3
"74","GA","The Brunswick news",1922,4
"75","GA","The Brunswick times",1897,4
"76","GA","The Brunswick times",1898,1
"77","GA","The Brunswick times",1899,1
"78","GA","The Brunswick times-call",1900,1
"79","GA","The Brunswick times-call",1901,2
"80","GA","The Jeffersonian",1908,2
"81","GA","The Jeffersonian",1909,4
"82","GA","The Jeffersonian",1910,3
"83","GA","The Jeffersonian",1911,4
"84","GA","The Jeffersonian",1913,5
"85","GA","The Jeffersonian",1914,2
"86","GA","The Jeffersonian",1915,19
"87","GA","The Jeffersonian",1916,10
"88","GA","The Jeffersonian",1917,1
"89","GA","The Savannah morning news.",1900,2
"90","GA","The Savannah morning news.",1901,2
"91","GA","The Savannah morning news.",1902,1
"92","GA","The Savannah morning news.",1903,3
"93","GA","The Savannah morning news.",1904,3
"94","GA","The morning news",1887,9
"95","GA","The morning news",1888,15
"96","GA","The morning news",1889,23
"97","GA","The morning news",1890,27
"98","GA","The morning news",1891,41
"99","GA","The morning news",1892,65
"100","GA","The morning news",1893,100
"101","GA","The morning news",1894,80
"102","GA","The morning news",1895,21
"103","GA","The morning news",1896,20
"104","GA","The morning news",1897,18
"105","GA","The morning news",1898,11
"106","GA","The morning news",1899,32
"107","GA","The morning news",1900,1
"108","GA","Watson's weekly Jeffersonian",1907,2
"109","GA","Weekly Jeffersonian",1907,3
"110","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",1909,1
"111","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",1912,1
"112","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",1916,1
"113","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",1918,1
"114","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",1919,1
"115","GA","combining the] Southwestern Presbyterian, Central Presbyterian, Southern Presbyterian",1920,1
