"","...1","...2","file_id","article_id","sn","newspaper_name1","city1","crap","state","year","month","day","page","edition","mod_id","URL","newspaper_state","file_id2","index","news_address","news_location.lon","news_location.lat"
"1",   1,597983, 8126,0,"sn86071197","The Houston daily post ","Houston",NA," Tex.)",1897, 8,25,"seq-5","ed-1",1,"https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1","Texas","8126_0",2485,"Houston, Texas", -95.369803,  29.760427
"2",   2, 35817, 8127,0,"sn85042354","Evening journal ","Wilmington",NA," Del...)",1912, 6,25,"seq-7","ed-1",1,"https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1","Delaware","8127_0",2486,"Wilmington, Delaware", -75.548391,  39.744655
"3",   3,229363, 8129,0,"sn89060092",NA,NA,NA,NA,1896, 2, 7,"seq-6","ed-1",1,"https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1","Maryland","8129_0",2487,"NA, Maryland", -76.641271,  39.045755
"4",   4,695231, 8137,0,"sn85040245","Ladysmith news-budget ","Ladysmith",NA," Rusk...)",1913, 3, 7,"seq-6","ed-1",1,"https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1","Wisconsin","8137_0",2488,"Ladysmith, Wisconsin", -91.104036,  45.463023
"5",   5,621248, 8149,0,"sn85058130","The Salt Lake herald ","Salt Lake City ",NA,NA,1908, 1, 3,"seq-2","ed-1",1,"https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1","Utah","8149_0",2489,"Salt Lake City , Utah",-111.891047,  40.760779
"6",   6,587530, 8153,0,"sn86088201","The Waco evening news ","Waco",NA," Tex.)",1893, 9,21,"seq-3","ed-1",1,"https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Texas","8153_0",2490,"Waco, Texas", -97.146670,  31.549333
"7",   7,587537, 8153,1,"sn86088201","The Waco evening news ","Waco",NA," Tex.)",1893, 9,21,"seq-3","ed-1",1,"https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1","Texas","8153_1",2491,"Waco, Texas", -97.146670,  31.549333
"8",   8,399738, 8155,0,"sn87096037","The Hope pioneer ","Hope",NA," N.D.)",1893, 8, 4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_0",2492,"Hope, North Dakota", -97.722320,  47.322210
"9",   9,399780, 8155,1,"sn87096037","The Hope pioneer ","Hope",NA," N.D.)",1893, 8, 4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_1",2493,"Hope, North Dakota", -97.722320,  47.322210
"10",  10,399750, 8155,2,"sn87096037","The Hope pioneer ","Hope",NA," N.D.)",1893, 8, 4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_2",2494,"Hope, North Dakota", -97.722320,  47.322210
"11",  11,399758, 8155,3,"sn87096037","The Hope pioneer ","Hope",NA," N.D.)",1893, 8, 4,"seq-2","ed-1",1,"https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1","North Dakota","8155_3",2495,"Hope, North Dakota", -97.722320,  47.322210
"12",  12,333064, 8166,0,"sn85034375","The Grenada sentinel ","Grenada",NA," Miss.)",1893, 9,30,"seq-2","ed-1",1,"https://articleextractor.org/pages/8166/msar_eyelet_ver02/sn85034375/1893/09/30/ed-1/seq-2/1","Mississippi","8166_0",2496,"Grenada, Mississippi", -89.808419,  33.769005
"13",  13,349513, 8173,0,"sn99021999",NA,NA,NA,NA,1891,10,10,"seq-1","ed-1",1,"https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1","Nebraska","8173_0",2500,"NA, Nebraska", -99.901813,  41.492537
"14",  14, 19933, 8176,0,"sn94053256","Waterbury evening Democrat ","Waterbury",NA," Conn...)",1891,10,30,"seq-1","ed-1",1,"https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1","Connecticut","8176_0",2501,"Waterbury, Connecticut", -73.051496,  41.558152
"15",  15,399335, 8180,0,"sn87096037","The Hope pioneer ","Hope",NA," N.D.)",1892,11, 4,"seq-2","ed-2",1,"https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1","North Dakota","8180_0",2502,"Hope, North Dakota", -97.722320,  47.322210
"16",  16,260688, 8181,0,"sn90059522","St. Paul daily globe ","Saint Paul",NA," Min...)",1891,10, 4,"seq-1","ed-1",1,"https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1","Minnesota","8181_0",2503,"Saint Paul, Minnesota", -93.089958,  44.953703
"17",  17,333046, 8183,0,"sn85034375","The Grenada sentinel ","Grenada",NA," Miss.)",1889, 9,21,"seq-2","ed-1",1,"https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1","Mississippi","8183_0",2504,"Grenada, Mississippi", -89.808419,  33.769005
