docname,from,to,pre,keyword,post,pattern,...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath
13735_0.txt,2,3,is,lynch law-,"high- handed measure . est fredericksburg , va . , july 23 . - a terrible outrage took place in",lynch law,2766,13735,0,sn86071377,"The mountain sentinel (Ebensburg, Pa.)",1850,8,1,seq-3,ed-1,1,http://localhost:62222/pages/13735/pst_kern_ver01/sn86071377/1850/08/01/ed-1/seq-3/1,Pennsylvania,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13735_0.txt
13737_0.txt,125,126,"my hands , and i trust never will . "" tho echo , a graut orgau , saya : """,lynch lawr,"must bo neod to protect our families against the bcoun drels who seem to infest overy community . tho ,",lynch law,673,13737,0,sn84031492,"Chicago daily tribune (Chicago, Ill.) 1872-1963",1874,9,28,seq-2,ed-1,1,http://localhost:62222/pages/13737/dlc_fullerton_ver02/sn84031492/1874/09/28/ed-1/seq-2/1,Illinois,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13737_0.txt
13752_0.txt,4,5,bloody execution of,lynch law.-,"the new orleans bee of of the blooded butchery of mr . adams and brother , of covington , by",lynch law,756,13752,0,sn83030313,The New York herald (New York [N.Y.]),1843,5,14,seq-2,ed-1,1,http://localhost:62222/pages/13752/dlc_kudzu_ver01/sn83030313/1843/05/14/ed-1/seq-2/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13752_0.txt
13754_0.txt,12,13,"from the marquette merenry fxtra , feb . 20th murder and",lynch law,". the land claim difficulties , between mess . rs . furman and cartwright which less than a year ago",lynch law,1518,13754,0,sn85033637,"The Hillsdale standard (Hillsdale, Mich...)",1854,3,28,seq-2,ed-1,1,http://localhost:62222/pages/13754/mimtptc_beulah_ver01/sn85033637/1854/03/28/ed-1/seq-2/1,Michigan,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13754_0.txt
13765_0.txt,1,2,,lynch law,in california five men hanged by the mob . a correspondent of the san francisco democratic iress give a description,lynch law,658,13765,0,sn84031490,"Chicago daily tribune (Chicago, Ill.) 1860-1864",1864,1,8,seq-3,ed-1,1,http://localhost:62222/pages/13765/dlc_edgewater_ver02/sn84031490/1864/01/08/ed-1/seq-3/1,Illinois,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13765_0.txt
13766_0.txt,1,2,,lynch law,"in the south- hanging of horse- thieves in arkansa's . fort smith , ark . , october 4 . -",lynch law,2603,13766,0,sn84028745,Cincinnati daily press (Cincinnati [Ohi...),1860,10,6,seq-1,ed-1,1,http://localhost:62222/pages/13766/ohi_guildenstern_ver01/sn84028745/1860/10/06/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13766_0.txt
13774_0.txt,28,29,e two young girls ruined at eas albany a mother and a brother take the law in their own hands,lynch law,threatened the crowd take the court huse by storm- much excitement was created at east albany on the afternoon of,lynch law,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13774_0.txt,252,253,"ar rested , and major was carried to his hous where a threatening mob was only deterred from resorting to",lynch law,"by the presence of a strong police force . major was formerly an engineer on the hudson river railroad ,",lynch law,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13776_0.txt,1,2,,lynch law,portage at . we publish elsewhere an account of a terrible affair which occurred at portage yesterday afternoon . it,lynch law,3463,13776,0,sn85033123,"The Kenosha telegraph (Kenosha, Wis.)",1869,9,23,seq-1,ed-1,1,http://localhost:62222/pages/13776/whi_dynamite_ver01/sn85033123/1869/09/23/ed-1/seq-1/1,Wisconsin,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13776_0.txt
13781_0.txt,940,941,he meant to shoot the man who he believed had drawn a pistol on him . he de . precated,lynch law,", and said that it brought everlasting disgrace on a community that resorted to it . he said he knew",lynch law,2563,13781,0,sn87076843,"Perrysburg journal. (Perrysburg, Woo...)",1873,4,18,seq-1,ed-1,1,http://localhost:62222/pages/13781/ohi_cobweb_ver04/sn87076843/1873/04/18/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13781_0.txt
