file_id2,newspaper_name,year,date,newspaper_state,URL
8126_0,"The Houston daily post (Houston, Tex.)",1897,1897-08-25,Texas,https://articleextractor.org/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1
8127_0,"Evening journal (Wilmington, Del...)",1912,1912-06-25,Delaware,https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1
8129_0,NA,1896,1896-02-07,Maryland,https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1
8137_0,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,1913-03-07,Wisconsin,https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1
8149_0,The Salt Lake herald (Salt Lake City ...),1908,1908-01-03,Utah,https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1
8153_0,"The Waco evening news (Waco, Tex.)",1893,1893-09-21,Texas,https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1
8153_1,"The Waco evening news (Waco, Tex.)",1893,1893-09-21,Texas,https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1
8155_0,"The Hope pioneer (Hope, N.D.)",1893,1893-08-04,North Dakota,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1
8155_1,"The Hope pioneer (Hope, N.D.)",1893,1893-08-04,North Dakota,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1
8155_2,"The Hope pioneer (Hope, N.D.)",1893,1893-08-04,North Dakota,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1
8155_3,"The Hope pioneer (Hope, N.D.)",1893,1893-08-04,North Dakota,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1
8166_0,"The Grenada sentinel (Grenada, Miss.)",1893,1893-09-30,Mississippi,https://articleextractor.org/pages/8166/msar_eyelet_ver02/sn85034375/1893/09/30/ed-1/seq-2/1
8173_0,NA,1891,1891-10-10,Nebraska,https://articleextractor.org/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1
8176_0,"Waterbury evening Democrat (Waterbury, Conn...)",1891,1891-10-30,Connecticut,https://articleextractor.org/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1
8180_0,"The Hope pioneer (Hope, N.D.)",1892,1892-11-04,North Dakota,https://articleextractor.org/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1
8181_0,"St. Paul daily globe (Saint Paul, Min...)",1891,1891-10-04,Minnesota,https://articleextractor.org/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1
8183_0,"The Grenada sentinel (Grenada, Miss.)",1889,1889-09-21,Mississippi,https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1
8186_0,"The enterprise (Wellington, Ohi...)",1893,1893-09-27,Ohio,https://articleextractor.org/pages/8186/ohi_cousteau_ver02/sn84028272/1893/09/27/ed-1/seq-6/1
8187_0,"Arizona republican (Phoenix, Ariz.)",1892,1892-01-15,Arizona,https://articleextractor.org/pages/8187/az_coyote_ver01/sn84020558/1892/01/15/ed-1/seq-5/1
8188_0,"The intelligencer (Lexington, Mo.)",1890,1890-09-06,Missouri,https://articleextractor.org/pages/8188/mohi_eeyore_ver01/sn93060412/1890/09/06/ed-1/seq-3/1
