"","docname","newspaper","date.x","url","hostile","neutral","orderly","justice","identified","unsure","other","newspaper_name","lynch_address","date.y","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Border","total_words","file_id_old"
"1","9853_0","Vilas County news (Eagle River, Vi...)","1901-12-16","https://articleextractor.org/pages/9853/whi_clearwater_ver01/sn85040613/1901/12/16/ed-1/seq-1/2",0,1,0,0,0,0,0,"Vilas County news","Lake Charles, LA","12/16/1901","Eagle River, Wisconsin",-89.2443,45.917176,"Eagle River","WI",1901,"seq-1","Lake Charles","LA","sn85040613",-93.2173758,30.2265949,1106,"N",1900,"Wisconsin","Midwest","Not_Border",74,9853
"2","9852_0","NA","1892-06-09","https://articleextractor.org/pages/9852/deu_horcrux_ver01/sn88053046/1892/06/09/ed-1/seq-8/2",1,0,0,0,0,0,0,NA,"Port Jervis, NY","6/9/1892","NA, Delaware",-75.52767,38.910832,NA,"DE",1892,"seq-8","Port Jervis","NY","sn88053046",-74.692663,41.3750937,176,"N",1890,"Delaware","South","Border",922,9852
"3","9852_0","NA","1892-06-09","https://articleextractor.org/pages/9852/deu_horcrux_ver01/sn88053046/1892/06/09/ed-1/seq-8/2",0,0,0,0,0,1,0,NA,"Port Jervis, NY","6/9/1892","NA, Delaware",-75.52767,38.910832,NA,"DE",1892,"seq-8","Port Jervis","NY","sn88053046",-74.692663,41.3750937,176,"N",1890,"Delaware","South","Border",922,9852
"4","9852_0","NA","1892-06-09","https://articleextractor.org/pages/9852/deu_horcrux_ver01/sn88053046/1892/06/09/ed-1/seq-8/2",1,0,0,0,0,0,0,NA,"Port Jervis, NY","6/9/1892","NA, Delaware",-75.52767,38.910832,NA,"DE",1892,"seq-8","Port Jervis","NY","sn88053046",-74.692663,41.3750937,176,"N",1890,"Delaware","South","Border",922,9852
"5","13895_0","The Hawaiian gazette (Honolulu [Oahu,...)","1915-08-17","https://articleextractor.org/pages/13895/hihouml_lilac_ver02/sn83025121/1915/08/17/ed-1/seq-1/1",1,0,0,0,0,0,0,"The Hawaiian gazette","Milledgeville, GA","8/17/1915","Honolulu , Hawaii",-157.85814,21.309884,"Honolulu","HI",1915,"seq-1","Milledgeville","GA","sn83025121",-83.2320991,33.0801429,4571,"N",1910,"Hawaii","West","Not_Border",307,13895
"6","13895_0","The Hawaiian gazette (Honolulu [Oahu,...)","1915-08-17","https://articleextractor.org/pages/13895/hihouml_lilac_ver02/sn83025121/1915/08/17/ed-1/seq-1/1",1,0,0,0,0,0,0,"The Hawaiian gazette","Milledgeville, GA","8/17/1915","Honolulu , Hawaii",-157.85814,21.309884,"Honolulu","HI",1915,"seq-1","Milledgeville","GA","sn83025121",-83.2320991,33.0801429,4571,"N",1910,"Hawaii","West","Not_Border",307,13895
"7","13897_0","Newark evening star and Newark advertiser (Newark, N.J.)","1915-12-21","https://articleextractor.org/pages/13897/njr_elliot_ver01/sn91064011/1915/12/21/ed-1/seq-2/1",1,0,1,0,0,0,0,"Newark evening star and Newark advertiser","Eastman, GA","12/21/1915","Newark, New Jersey",-74.17237,40.735657,"Newark","NJ",1915,"seq-2","Eastman","GA","sn91064011",-83.1776514,32.1976729,774,"N",1910,"New Jersey","Northeast","Not_Border",108,13897
"8","13897_0","Newark evening star and Newark advertiser (Newark, N.J.)","1915-12-21","https://articleextractor.org/pages/13897/njr_elliot_ver01/sn91064011/1915/12/21/ed-1/seq-2/1",1,0,1,0,0,0,0,"Newark evening star and Newark advertiser","Eastman, GA","12/21/1915","Newark, New Jersey",-74.17237,40.735657,"Newark","NJ",1915,"seq-2","Eastman","GA","sn91064011",-83.1776514,32.1976729,774,"N",1910,"New Jersey","Northeast","Not_Border",108,13897
"9","13897_0","Newark evening star and Newark advertiser (Newark, N.J.)","1915-12-21","https://articleextractor.org/pages/13897/njr_elliot_ver01/sn91064011/1915/12/21/ed-1/seq-2/1",1,0,1,0,0,0,0,"Newark evening star and Newark advertiser","Eastman, GA","12/21/1915","Newark, New Jersey",-74.17237,40.735657,"Newark","NJ",1915,"seq-2","Eastman","GA","sn91064011",-83.1776514,32.1976729,774,"N",1910,"New Jersey","Northeast","Not_Border",108,13897
"10","13897_0","Newark evening star and Newark advertiser (Newark, N.J.)","1915-12-21","https://articleextractor.org/pages/13897/njr_elliot_ver01/sn91064011/1915/12/21/ed-1/seq-2/1",0,1,1,0,0,0,0,"Newark evening star and Newark advertiser","Eastman, GA","12/21/1915","Newark, New Jersey",-74.17237,40.735657,"Newark","NJ",1915,"seq-2","Eastman","GA","sn91064011",-83.1776514,32.1976729,774,"N",1910,"New Jersey","Northeast","Not_Border",108,13897
