"","newspaper_state_clean","newspaper_name","n"
"1","MS","Afro-American courier.",1
"2","MS","American citizen",19
"3","MS","Canton herald.",1
"4","MS","Columbus Democrat",1
"5","MS","East Mississippi times.",1
"6","MS","Flag of the Union",2
"7","MS","Greene County herald.",4
"8","MS","Hattiesburg daily news.",2
"9","MS","Hattiesburg daily progress.",1
"10","MS","Iuka reporter.",2
"11","MS","Jackson advocate",65
"12","MS","Lexington advertiser",1
"13","MS","Liberty advocate",2
"14","MS","Macon beacon",111
"15","MS","Okolona messenger.",4
"16","MS","Oxford eagle.",10
"17","MS","Southern Argus",4
"18","MS","Southern telegraph.",1
"19","MS","Stone County enterprise",5
"20","MS","The Aberdeen examiner",2
"21","MS","The Aberdeen weekly",15
"22","MS","The Bolivar County Democrat.",4
"23","MS","The Brandon news.",2
"24","MS","The Brookhaven leader",40
"25","MS","The Canton times.",2
"26","MS","The Chronicle-star combined with the Moss Point advertiser.",1
"27","MS","The Columbus commercial.",4
"28","MS","The Daily clarion",10
"29","MS","The Greenville times",52
"30","MS","The Grenada sentinel",207
"31","MS","The Handsboro Democrat",1
"32","MS","The Hattiesburg news.",9
"33","MS","The Iuka vidette.",2
"34","MS","The Jones County news.",1
"35","MS","The Kemper herald.",1
"36","MS","The Lexington advertiser",23
"37","MS","The Magnolia gazette",13
"38","MS","The Mississippi Creole",4
"39","MS","The Mississippi enterprise.",1
"40","MS","The Neshoba Democrat.",2
"41","MS","The New South.",1
"42","MS","The Panola weekly star.",1
"43","MS","The Pascagoula democrat-star.",6
"44","MS","The Petal paper",5
"45","MS","The Port Gibson reveille",63
"46","MS","The Ripley advertiser",2
"47","MS","The Scranton chronicle.",1
"48","MS","The Semi-weekly leader.",8
"49","MS","The Southern herald.",1
"50","MS","The Starkville news.",3
"51","MS","The Tupelo journal.",5
"52","MS","The Woodville Republican",1
"53","MS","The Yazoo Democrat",2
"54","MS","The Yazoo Democrat.",1
"55","MS","The advertiser",1
"56","MS","The clarion",9
"57","MS","The comet",5
"58","MS","The commonwealth.",7
"59","MS","The daily Corinthian",1
"60","MS","The daily clarion",1
"61","MS","The daily commonwealth.",1
"62","MS","The free press.",6
"63","MS","The leader",65
"64","MS","The prairie news",4
"65","MS","The primitive Republican.",1
"66","MS","The progress-advertiser.",3
"67","MS","The star of Pascagoula",1
"68","MS","The weekly Copiahan",4
"69","MS","The weekly Corinthian.",8
"70","MS","The weekly Panola star",2
"71","MS","The weekly clarion",38
"72","MS","Times-promoter.",5
"73","MS","Warren sheaf",187
"74","MS","Water Valley progress.",1
"75","MS","Weekly commercial herald.",1
