word1,word2,word3,n,decade
NA,NA,NA,313,pre1850
by,lynch,law,12,pre1850
one,of,the,10,pre1850
of,lynch,law,9,pre1850
some,of,the,9,pre1850
the,united,states,9,pre1850
part,of,the,8,pre1850
a,few,days,7,pre1850
of,this,country,7,pre1850
the,people,are,7,pre1850
by,a,mob,6,pre1850
by,the,name,6,pre1850
hung,by,lynch,6,pre1850
out,of,the,6,pre1850
people,are,now,6,pre1850
portion,of,the,6,pre1850
the,name,of,6,pre1850
the,part,of,6,pre1850
the,people,of,6,pre1850
the,presence,of,6,pre1850
there,is,no,6,pre1850
to,have,been,6,pre1850
and,lynch,law,5,pre1850
and,robberies,are,5,pre1850
are,of,daily,5,pre1850
as,well,as,5,pre1850
in,favor,of,5,pre1850
in,pursuit,of,5,pre1850
in,the,presence,5,pre1850
it,is,said,5,pre1850
members,of,the,5,pre1850
on,the,night,5,pre1850
on,the,part,5,pre1850
one,of,them,5,pre1850
robberies,are,of,5,pre1850
the,affairs,of,5,pre1850
the,citizens,of,5,pre1850
the,murder,of,5,pre1850
a,pair,of,4,pre1850
a,state,of,4,pre1850
account,of,the,4,pre1850
an,innocent,man,4,pre1850
and,four,or,4,pre1850
and,in,the,4,pre1850
and,on,the,4,pre1850
and,the,country,4,pre1850
as,it,is,4,pre1850
as,soon,as,4,pre1850
as,to,the,4,pre1850
at,this,port,4,pre1850
but,notifies,the,4,pre1850
by,the,citizens,4,pre1850
down,the,river,4,pre1850
either,civil,or,4,pre1850
execution,of,the,4,pre1850
from,the,north,4,pre1850
have,been,the,4,pre1850
his,wife,and,4,pre1850
in,a,white,4,pre1850
in,new,york,4,pre1850
in,order,to,4,pre1850
in,that,place,4,pre1850
in,the,city,4,pre1850
in,this,country,4,pre1850
in,which,the,4,pre1850
it,is,a,4,pre1850
last,wrote,to,4,pre1850
lynch,law,and,4,pre1850
military,and,the,4,pre1850
murders,and,robberies,4,pre1850
occurs,from,the,4,pre1850
of,a,large,4,pre1850
of,a,letter,4,pre1850
of,a,negro,4,pre1850
of,daily,and,4,pre1850
of,hourly,occurrence,4,pre1850
of,the,british,4,pre1850
of,the,mob,4,pre1850
of,the,whole,4,pre1850
of,those,who,4,pre1850
