word1,word2,n,decade
NA,NA,206,pre1850s
lynch,law,58,pre1850s
san,francisco,7,pre1850s
st,louis,7,pre1850s
hourly,occurrence,5,pre1850s
sir,robert,5,pre1850s
dear,sir,4,pre1850s
distressing,condition,4,pre1850s
hundred,dollars,4,pre1850s
judge,lynch,4,pre1850s
lynch,law.the,4,pre1850s
north,south,4,pre1850s
provisional,government,4,pre1850s
twenty,murders,4,pre1850s
"15,000",souls,3,pre1850s
aquilla,barnes,3,pre1850s
arrival,occurs,3,pre1850s
col,turk,3,pre1850s
dissatisfaction,exists,3,pre1850s
ensuing,summer,3,pre1850s
hundred,lashes,3,pre1850s
law,sixty,3,pre1850s
lynch,law.on,3,pre1850s
poorer,inhabitants,3,pre1850s
revenue,laws,3,pre1850s
robert,peel,3,pre1850s
united,kingdom,3,pre1850s
volunteer,companies,3,pre1850s
white,population,3,pre1850s
white,river,3,pre1850s
york,dated,3,pre1850s
10th,inst,2,pre1850s
12,o'clock,2,pre1850s
25,1848,2,pre1850s
28th,ult,2,pre1850s
3d,inst,2,pre1850s
active,search,2,pre1850s
aged,father,2,pre1850s
alarmed,separated,2,pre1850s
american,naval,2,pre1850s
american,navy,2,pre1850s
american,seamen,2,pre1850s
american,union,2,pre1850s
barnes,son,2,pre1850s
black,fellow,2,pre1850s
british,journalists,2,pre1850s
british,law,2,pre1850s
british,officer,2,pre1850s
british,soldier,2,pre1850s
cadiz,november,2,pre1850s
camelford,shot,2,pre1850s
capturing,27,2,pre1850s
caught,hold,2,pre1850s
caught,stealing,2,pre1850s
cold,blood,2,pre1850s
colonel,turk,2,pre1850s
colored,people,2,pre1850s
commodore,jones,2,pre1850s
considerable,sum,2,pre1850s
cotton,elliot,2,pre1850s
county,mo,2,pre1850s
dated,cadiz,2,pre1850s
days,succeeded,2,pre1850s
de,joinville,2,pre1850s
de,kalb,2,pre1850s
de,mon,2,pre1850s
dead,bodies,2,pre1850s
december,25,2,pre1850s
english,officer,2,pre1850s
exchange,office,2,pre1850s
excitement,prevails,2,pre1850s
feb,13,2,pre1850s
ferry,boat,2,pre1850s
foreign,countries,2,pre1850s
foreign,mints,2,pre1850s
francisco,california,2,pre1850s
gaining,ground,2,pre1850s
gold,mines,2,pre1850s
grand,jury,2,pre1850s
guilty,parties,2,pre1850s
henderson,county,2,pre1850s
horse,stealing,2,pre1850s
horse,thieves,2,pre1850s
