docname,from,to,pre,keyword,post,pattern,...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath
13735_0.txt,62,62,"justices ust of the peace , members of churches , and others , proceeded to the jail , resisted the",sheriff,", and carried off william grayson , a free negro . they dragged him to the woods , where they",sheriff,2766,13735,0,sn86071377,"The mountain sentinel (Ebensburg, Pa.)",1850,8,1,seq-3,ed-1,1,http://localhost:62222/pages/13735/pst_kern_ver01/sn86071377/1850/08/01/ed-1/seq-3/1,Pennsylvania,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13735_0.txt
13743_0.txt,110,110,denounce his en . emies and create other sensations on the gallows were not carried out . he only asked,sheriff,"tobin to be sure to fix the knot so that it would break his neck . "" i don't want",sheriff,825,13743,0,sn95026977,"Gainesville daily sun. (Gainesville, Fl...)",1905,12,27,seq-1,ed-1,1,http://localhost:62222/pages/13743/fu_six_ver01/sn95026977/1905/12/27/ed-1/seq-1/1,Florida,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13743_0.txt
13743_0.txt,151,151,"it to aurt me , "" he said . there were 250 witnesses to the hanging among them 25 texas",sheriffs,". ,",sheriff,825,13743,0,sn95026977,"Gainesville daily sun. (Gainesville, Fl...)",1905,12,27,seq-1,ed-1,1,http://localhost:62222/pages/13743/fu_six_ver01/sn95026977/1905/12/27/ed-1/seq-1/1,Florida,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13743_0.txt
13751_0.txt,15,15,"mob threatens to lynch notorious chicago gunman chicago , aug . 1 . -",policemen,"fought back a hostile crowd as they carried tommy o'connor , notorious gunman and alleged slayer of detective sergeant paddy",police,812,13751,0,sn84026749,The Washington times (Washington [D.C...),1921,8,1,seq-6,ed-1,1,http://localhost:62222/pages/13751/dlc_yorkie_ver01/sn84026749/1921/08/01/ed-1/seq-6/1,District of Columbia,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13751_0.txt
13751_0.txt,79,79,"man who had sworn never to be taken alive . "" that's tommy o'connor . hang the cur ! """,police,had expected o'connor's friends to attempt to rescue him and he was kept in irons after being taken from the,police,812,13751,0,sn84026749,The Washington times (Washington [D.C...),1921,8,1,seq-6,ed-1,1,http://localhost:62222/pages/13751/dlc_yorkie_ver01/sn84026749/1921/08/01/ed-1/seq-6/1,District of Columbia,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13751_0.txt
13753_0.txt,22,22,"colored man , named thomas harden , was killed in boston on the night of the 28th inst . the",police,"are in search of a negro named washington goode , who is suspected of having committed the murder . jealousy",police,763,13753,0,sn83030313,The New York herald (New York [N.Y.]),1848,7,9,seq-2,ed-1,1,http://localhost:62222/pages/13753/dlc_marcus_ver01/sn83030313/1848/07/09/ed-1/seq-2/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13753_0.txt
13755_0.txt,64,64,a verdict of murder in the first degreo . the prisoner was remanded to jail to await sentence . the,sheriff,"started for the jail with the prisoner , surrounded by the military . a rush was made by the mob",sheriff,1519,13755,0,sn85033637,"The Hillsdale standard (Hillsdale, Mich...)",1855,8,14,seq-2,ed-1,1,http://localhost:62222/pages/13755/mimtptc_beulah_ver01/sn85033637/1855/08/14/ed-1/seq-2/1,Michigan,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13755_0.txt
13774_0.txt,61,61,"was created at east albany on the afternoon of the 10th , by the shooting of a person in the",police,"or art room . it appears that on the 7th inst . , two girls , named ann and bridget",police,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13774_0.txt,171,171,arrested and recognized by the girls as two of their assailar cs . this afternoon they were taken before the,police,"magistrate for a preliminary examination , but these proceedings had ecarcely pened when a brother of the girls shot the",police,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13774_0.txt,260,260,his hous where a threatening mob was only deterred from resorting to lynch law by the presence of a strong,police,"force . major was formerly an engineer on the hudson river railroad , but had been discharged for misconduct .",police,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13774_0.txt,304,304,"said to be a notorious bounty jumper . young burns tried to stab him , but was prevented by a",police,". man . the albany argus , of the 11th instant , further says : greenbush was the scene of",police,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13774_0.txt,911,911,"officers , and speedily restored order . the younger prisoner had fled for safety , and now sent to the",police,"to say where they could find him . he was arrested , as also mrs . burns , the mother",police,651,13774,0,sn85026214,New York dispatch (New York [N.Y.]),1865,7,16,seq-6,ed-1,1,http://localhost:62222/pages/13774/dlc_dunbar_ver01/sn85026214/1865/07/16/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13774_0.txt
13781_0.txt,205,205,"armed men from the surrounding country , at monterey , who went to the jail , seized and tied the",sheriff,", and then proceeded to force an entrance into the building . while the outer iron door was being battered",sheriff,2563,13781,0,sn87076843,"Perrysburg journal. (Perrysburg, Woo...)",1873,4,18,seq-1,ed-1,1,http://localhost:62222/pages/13781/ohi_cobweb_ver04/sn87076843/1873/04/18/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13781_0.txt
13781_0.txt,434,434,determined faces of the men told him that this was mere subterfuge . he knew what was up- knew that,sheriff,"wasson was not there , and knew that if what they said was true , the jail and his cell",sheriff,2563,13781,0,sn87076843,"Perrysburg journal. (Perrysburg, Woo...)",1873,4,18,seq-1,ed-1,1,http://localhost:62222/pages/13781/ohi_cobweb_ver04/sn87076843/1873/04/18/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13781_0.txt
13793_0.txt,77,77,"posey county on horseback quietly surrounded our county jail , situated in the center of the city , awoke the",sheriff,", and demanded of him the keys of the jail . they then went to redman's cell , took him",sheriff,1185,13793,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1882,10,20,seq-2,ed-1,1,http://localhost:62222/pages/13793/khi_dole_ver01/sn83040340/1882/10/20/ed-1/seq-2/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13793_0.txt
13793_0.txt,240,240,"clatter of the horses ' hoofs coming up the bowl dered streets , and hurried back into the jail .",sheriff,"kerth was at the front door of the court- house when the mob arrived . the mob dismounted , picketed",sheriff,1185,13793,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1882,10,20,seq-2,ed-1,1,http://localhost:62222/pages/13793/khi_dole_ver01/sn83040340/1882/10/20/ed-1/seq-2/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13793_0.txt
13793_0.txt,528,528,"get assistance so as to capture the mob , or some of them . newitt managed to get into the",sheriff's,"residence and run up stairs to the front window , which he opened and blew his whistle . then the",sheriff,1185,13793,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1882,10,20,seq-2,ed-1,1,http://localhost:62222/pages/13793/khi_dole_ver01/sn83040340/1882/10/20/ed-1/seq-2/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13793_0.txt
13793_0.txt,710,710,"dealt redman a powerful blow on the head , felling him to the ground . at this point chief- of-",police,"pritchell ar . rived on the scene . one of the mob ran up to him and said : """,police,1185,13793,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1882,10,20,seq-2,ed-1,1,http://localhost:62222/pages/13793/khi_dole_ver01/sn83040340/1882/10/20/ed-1/seq-2/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13793_0.txt
13793_0.txt,1303,1303,"er a severe tussle , but was landed in the sta tion- house . all the prisoners captured by the",police,were heavily armed . they had two revolvers each . redman's crime . on the night of the 6th inst,police,1185,13793,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1882,10,20,seq-2,ed-1,1,http://localhost:62222/pages/13793/khi_dole_ver01/sn83040340/1882/10/20/ed-1/seq-2/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13793_0.txt
13800_0.txt,212,212,", chiefly of colored men , some in masks , gathered at the jail and demanded the prisoner . the",sheriff,"had prepared for the emergency , and warned them away , but the clamorous throng pushed forward and forced open",sheriff,2618,13800,0,sn84028490,"The Stark County Democrat (Canton, Ohio)",1883,2,14,seq-1,ed-1,1,http://localhost:62222/pages/13800/ohi_jaques_ver01/sn84028490/1883/02/14/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13800_0.txt
13800_0.txt,240,240,"warned them away , but the clamorous throng pushed forward and forced open the door of the building . the",sheriff,"struck the foremost man over the head then the mob opened fire , to which the sheriff and his deputies",sheriff,2618,13800,0,sn84028490,"The Stark County Democrat (Canton, Ohio)",1883,2,14,seq-1,ed-1,1,http://localhost:62222/pages/13800/ohi_jaques_ver01/sn84028490/1883/02/14/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13800_0.txt
13800_0.txt,257,257,"building . the sheriff struck the foremost man over the head then the mob opened fire , to which the",sheriff,"and his deputies replied , and a general fusillade ensued . the front windows and doors of the building were",sheriff,2618,13800,0,sn84028490,"The Stark County Democrat (Canton, Ohio)",1883,2,14,seq-1,ed-1,1,http://localhost:62222/pages/13800/ohi_jaques_ver01/sn84028490/1883/02/14/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13800_0.txt
13800_0.txt,288,288,". the front windows and doors of the building were perforat heed with shot . ed . long , the",sheriff's,"son , received a buckshot wound in the arm . james mcgraw , colored , was shot through the head",sheriff,2618,13800,0,sn84028490,"The Stark County Democrat (Canton, Ohio)",1883,2,14,seq-1,ed-1,1,http://localhost:62222/pages/13800/ohi_jaques_ver01/sn84028490/1883/02/14/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13800_0.txt
13800_0.txt,348,348,"mob then retreated , and , without further effort to obtain posses sion of the prisoner , dispersed . the",sheriff,was supported by three or in four,sheriff,2618,13800,0,sn84028490,"The Stark County Democrat (Canton, Ohio)",1883,2,14,seq-1,ed-1,1,http://localhost:62222/pages/13800/ohi_jaques_ver01/sn84028490/1883/02/14/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13800_0.txt
13813_1.txt,17,17,afraid of a mob . it appears that there is still danger at alma . although,sheriff,"treu of wabaunsee county stoutly asserted that there was no danger of mob violence toward "" dick "" williams and",sheriff,1271,13813,1,sn82016014,"The Topeka state journal (Topeka, Kansas)",1899,7,22,seq-1,ed-1,1,http://localhost:62222/pages/13813/khi_jesse_ver01/sn82016014/1899/07/22/ed-1/seq-1/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13813_1.txt
13813_1.txt,78,78,back to the county jail in topeka friday night . there has been talk enough in alma to warrant the,sheriff,in being cautious . with the two supposed principals in the murder in alma at the same time there was,sheriff,1271,13813,1,sn82016014,"The Topeka state journal (Topeka, Kansas)",1899,7,22,seq-1,ed-1,1,http://localhost:62222/pages/13813/khi_jesse_ver01/sn82016014/1899/07/22/ed-1/seq-1/1,Kansas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13813_1.txt
13823_0.txt,667,667,"and spivey was suspended for a third time in midair . there was a sudden jost ling , and deputy",sheriff,"brannan and a few assistants rushed forward , cut the rope and dashed down the street with the prisoner .",sheriff,3559,13823,0,sn86092392,"Ceredo advance (Ceredo, W. Va.)",1903,10,7,seq-2,ed-1,1,http://localhost:62222/pages/13823/wvu_moore_ver01/sn86092392/1903/10/07/ed-1/seq-2/1,West Virginia,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13823_0.txt
13824_0.txt,32,32,"whites- boro , texas , on the suspicion that he assaulted mrs . hart of that town , but the",sheriff's,posse cut him down resulted .,sheriff,3512,13824,0,sn85040705,"Northern Wisconsin advertiser (Wabeno, Wis.)",1903,8,20,seq-2,ed-1,1,http://localhost:62222/pages/13824/whi_jarvey_ver01/sn85040705/1903/08/20/ed-1/seq-2/1,Wisconsin,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13824_0.txt
13828_0.txt,518,518,"permitted to take its course . almost without exception officers of the law , from the governors down to the",sheriffs,", use their utmost endeavors to prevent and check lynchings . the northern peo ple are having frequent opportunities to",sheriff,883,13828,0,sn89053684,"The Savannah morning news. (Savannah, Ga.)",1904,3,11,seq-4,ed-1,1,http://localhost:62222/pages/13828/gu_holmes_ver01/sn89053684/1904/03/11/ed-1/seq-4/1,Georgia,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13828_0.txt
13830_0.txt,5,5,a hartford murder ex-,police,"commissioner shot by negro body servant . a big mob shouis , "" lynch himi "" wildly excited crowd a",police,2451,13830,0,sn85035720,"Perth Amboy evening news (Perth Amboy, N....)",1904,8,6,seq-6,ed-2,1,http://localhost:62222/pages/13830/njr_allspice_ver02/sn85035720/1904/08/06/ed-2/seq-6/1,New Jersey,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13830_0.txt
13830_0.txt,57,57,"dis charge of assassin . hartford , conn . , aug . 6 . - henry osborne , a former",police,"commissioner and one of the leading business men of this city , was murdered by his former negro body servant",police,2451,13830,0,sn85035720,"Perth Amboy evening news (Perth Amboy, N....)",1904,8,6,seq-6,ed-2,1,http://localhost:62222/pages/13830/njr_allspice_ver02/sn85035720/1904/08/06/ed-2/seq-6/1,New Jersey,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13830_0.txt
13830_0.txt,149,149,"fully a thousand persons , and as watson , heavily manacled , was con ducted down the steps to the",police,"patrol wagon the air resounded with cries of "" kill him ! "" and "" lynch him ! "" from",police,2451,13830,0,sn85035720,"Perth Amboy evening news (Perth Amboy, N....)",1904,8,6,seq-6,ed-2,1,http://localhost:62222/pages/13830/njr_allspice_ver02/sn85035720/1904/08/06/ed-2/seq-6/1,New Jersey,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13830_0.txt
13830_0.txt,248,248,been seen here be fore and has hardly been duplicated under like circumstances in new eng land . at the,police,"station , which is located at the junction of three streets , the scene was even more striking , for",police,2451,13830,0,sn85035720,"Perth Amboy evening news (Perth Amboy, N....)",1904,8,6,seq-6,ed-2,1,http://localhost:62222/pages/13830/njr_allspice_ver02/sn85035720/1904/08/06/ed-2/seq-6/1,New Jersey,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13830_0.txt
13830_0.txt,351,351,face to face with the crowd which seemed so anxious to avenge the mur der . when brought into the,police,station he was asked several questions and without hesitancy answered them . he said he killed mr . osborne .,police,2451,13830,0,sn85035720,"Perth Amboy evening news (Perth Amboy, N....)",1904,8,6,seq-6,ed-2,1,http://localhost:62222/pages/13830/njr_allspice_ver02/sn85035720/1904/08/06/ed-2/seq-6/1,New Jersey,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13830_0.txt
13830_0.txt,425,425,"him . "" he then described in detail the kill ing , after which he was locked up and a",police,officer placed as a guard over him . mr . osborne was deliberately killed by watson out of revenge for,police,2451,13830,0,sn85035720,"Perth Amboy evening news (Perth Amboy, N....)",1904,8,6,seq-6,ed-2,1,http://localhost:62222/pages/13830/njr_allspice_ver02/sn85035720/1904/08/06/ed-2/seq-6/1,New Jersey,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13830_0.txt
