"","X.1","file_id2","newspaper_name","newspaper_state","date","year","month","day","page","edition","mod_id","unnamed_0","file_id","article_id","sn","url","black_press","filename","X","index","article_title","newspaper_city","collection","abstract","store_id","authors","document_type","issn","pages","find_a_copy","start_page","filepath"
"1",8,"8153_0","The Waco evening news (Waco, Tex.)","Texas","1893-09-21",1893,9,21,"seq-3","ed-1",1,11167,8153,0,"sn86088201","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/0?user_id=6",NA,"8153_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",9,"8153_1","The Waco evening news (Waco, Tex.)","Texas","1893-09-21",1893,9,21,"seq-3","ed-1",1,11169,8153,1,"sn86088201","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/0?user_id=6",NA,"8153_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15,"8166_0","The Grenada sentinel (Grenada, Miss.)","Mississippi","1893-09-30",1893,9,30,"seq-2","ed-1",1,6980,8166,0,"sn85034375","https://articleextractor.org/pages/8166/msar_eyelet_ver02/sn85034375/1893/09/30/ed-1/seq-2/0?user_id=6",NA,"8166_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",21,"8183_0","The Grenada sentinel (Grenada, Miss.)","Mississippi","1889-09-21",1889,9,21,"seq-2","ed-1",1,6977,8183,0,"sn85034375","https://articleextractor.org/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/0?user_id=6",NA,"8183_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",25,"8189_0",NA,"Texas","1887-02-03",1887,2,3,"seq-6","ed-1",1,11414,8189,0,"sn86064205","https://articleextractor.org/pages/8189/txdn_echo_ver03/sn86064205/1887/02/03/ed-1/seq-6/0?user_id=6",NA,"8189_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",29,"8193_0","The Evening critic (Washington, D.C...)","District of Columbia","1884-01-17",1884,1,17,"seq-1","ed-1",1,2112,8193,0,"sn82014424","https://articleextractor.org/pages/8193/dlc_franklin_ver01/sn82014424/1884/01/17/ed-1/seq-1/0?user_id=6",NA,"8193_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",31,"8196_0",NA,"District of Columbia","1887-06-14",1887,6,14,"seq-1","ed-1",2,1983,8196,0,"sn86053573","https://articleextractor.org/pages/8196/dlc_chester_ver02/sn86053573/1887/06/14/ed-1/seq-1/0?user_id=6",NA,"8196_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",32,"8197_0","The Russellville Democrat (Russellville, A...)","Arkansas","1893-11-30",1893,11,30,"seq-2","ed-1",1,656,8197,0,"sn84023017","https://articleextractor.org/pages/8197/arhi_igglybuff_ver01/sn84023017/1893/11/30/ed-1/seq-2/0?user_id=6",NA,"8197_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,"8200_0","Tensas gazette (St. Joseph, La.)","Louisiana","1909-04-30",1909,4,30,"seq-4","ed-1",1,5123,8200,0,"sn87090131","https://articleextractor.org/pages/8200/lu_roulette_ver01/sn87090131/1909/04/30/ed-1/seq-4/0?user_id=6",NA,"8200_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,"8213_0","The Brookhaven leader (Brookhaven, Mis...)","Mississippi","1888-06-21",1888,6,21,"seq-2","ed-1",3,6770,8213,0,"sn86074058","https://articleextractor.org/pages/8213/msar_agate_ver01/sn86074058/1888/06/21/ed-1/seq-2/0?user_id=6",NA,"8213_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",39,"8215_0","Evening star (Washington, D.C...)","District of Columbia","1912-10-06",1912,10,6,"seq-24","ed-1",2,2341,8215,0,"sn83045462","https://articleextractor.org/pages/8215/dlc_neptunian_ver01/sn83045462/1912/10/06/ed-1/seq-24/0?user_id=6",NA,"8215_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",47,"8242_0",NA,"Georgia","1909-06-04",1909,6,4,"seq-1","ed-1",1,2726,8242,0,"sn86090947","https://articleextractor.org/pages/8242/gu_graco_ver01/sn86090947/1909/06/04/ed-1/seq-1/0?user_id=6",NA,"8242_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",52,"8247_0","The morning news (Savannah, Ga.)","Georgia","1887-07-20",1887,7,20,"seq-2","ed-1",1,2605,8247,0,"sn86063034","https://articleextractor.org/pages/8247/gu_bobbsey_ver02/sn86063034/1887/07/20/ed-1/seq-2/0?user_id=6",NA,"8247_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",56,"8250_0","The Forrest City times (Forrest City, A...)","Arkansas","1892-05-20",1892,5,20,"seq-1","ed-1",1,395,8250,0,"sn84022960","https://articleextractor.org/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/0?user_id=6",NA,"8250_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",57,"8250_1","The Forrest City times (Forrest City, A...)","Arkansas","1892-05-20",1892,5,20,"seq-1","ed-1",1,397,8250,1,"sn84022960","https://articleextractor.org/pages/8250/arhi_alakazam_ver01/sn84022960/1892/05/20/ed-1/seq-1/0?user_id=6",NA,"8250_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",58,"8253_0","The Magnolia gazette (Magnolia, Miss.)","Mississippi","1892-06-25",1892,6,25,"seq-3","ed-1",1,7098,8253,0,"sn85034447","https://articleextractor.org/pages/8253/msar_ikat_ver01/sn85034447/1892/06/25/ed-1/seq-3/0?user_id=6",NA,"8253_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",59,"8257_0",NA,"Tennessee","1886-02-27",1886,2,27,"seq-4","ed-1",1,10973,8257,0,"sn93063896","https://articleextractor.org/pages/8257/tu_gordon_ver01/sn93063896/1886/02/27/ed-1/seq-4/0?user_id=6",NA,"8257_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",64,"8278_0","The morning news (Savannah, Ga.)","Georgia","1887-10-18",1887,10,18,"seq-1","ed-1",1,2607,8278,0,"sn86063034","https://articleextractor.org/pages/8278/gu_bobbsey_ver02/sn86063034/1887/10/18/ed-1/seq-1/0?user_id=6",NA,"8278_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
