"","X","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"1",1,1,1,0,"1893-12-11","Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//0/vi_quartz_ver01/sn85025007/1893/12/11/ed-1/seq-2/0?user_id=6","sn85025007",1893,12,11,"ed-1","Alexandria,  D.C",0,"2023-07-31 20:06:24",0,0,1,0,6,"Rob Wells","DC"
"2",7,7,7,6,"1898-01-08","Macon beacon","Macon","Miss","https://articleextractor.org/pages//6/msar_applejack_ver01/sn83016943/1898/01/08/ed-1/seq-1/0?user_id=6","sn83016943",1898,1,8,"ed-1","Macon,  Miss",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"3",13,13,13,12,"1899-06-15","The news & observer","Raleigh","N.C","https://articleextractor.org/pages//12/ncu_griffin_ver01/sn85042104/1899/06/15/ed-1/seq-2/0?user_id=6","sn85042104",1899,6,15,"ed-1","Raleigh,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"4",16,16,16,15,"1898-09-17","Richmond planet","Richmond","Va","https://articleextractor.org/pages//15/vi_yes_ver01/sn84025841/1898/09/17/ed-1/seq-4/0?user_id=6","sn84025841",1898,9,17,"ed-1","Richmond,  Va",0,"2023-01-23 21:02:58",2,0,0,0,0,"null","VA"
"5",18,18,18,17,"1899-05-23","El Paso daily herald.","El Paso","Tex","https://articleextractor.org/pages//17/txdn_gmc_ver02/sn86064199/1899/05/23/ed-1/seq-1/0?user_id=6","sn86064199",1899,5,23,"ed-1","El Paso,  Tex",0,"2023-01-23 21:02:58",2,0,0,0,0,"null","TX"
"6",19,19,19,18,"1898-12-09","The semi-weekly messenger","Wilmington","N.C","https://articleextractor.org/pages//18/ncu_green_ver01/sn91068367/1898/12/09/ed-1/seq-8/0?user_id=6","sn91068367",1898,12,9,"ed-1","Wilmington,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"7",20,20,20,19,"1899-01-11","The leader","Brookhaven","Mis","https://articleextractor.org/pages//19/msar_agate_ver01/sn86074063/1899/01/11/ed-1/seq-2/0?user_id=6","sn86074063",1899,1,11,"ed-1","Brookhaven,  Mis",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"8",22,22,22,21,"1898-05-07","The Grenada sentinel","Grenada","Miss","https://articleextractor.org/pages//21/msar_eyelet_ver02/sn85034375/1898/05/07/ed-1/seq-4/0?user_id=6","sn85034375",1898,5,7,"ed-1","Grenada,  Miss",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"9",26,26,26,25,"1898-11-24","The times","Richmond","Va","https://articleextractor.org/pages//25/vi_vanhalen_ver01/sn85034438/1898/11/24/ed-1/seq-7/0?user_id=6","sn85034438",1898,11,24,"ed-1","Richmond,  Va",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","VA"
"10",29,29,29,28,"1898-11-12","Bryan morning eagle","Bryan","Tex","https://articleextractor.org/pages//28/txdn_infiniti_ver03/sn86088652/1898/11/12/ed-1/seq-2/0?user_id=6","sn86088652",1898,11,12,"ed-1","Bryan,  Tex",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","TX"
"11",30,30,30,29,"1898-01-06","Warren sheaf","Warren","Marshal","https://articleextractor.org/pages//29/mnhi_orr_ver01/sn90059228/1898/01/06/ed-1/seq-2/0?user_id=6","sn90059228",1898,1,6,"ed-1","Warren,  Marshal",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"12",32,32,32,31,"1899-05-25","The Mena star.","Mena","Ark","https://articleextractor.org/pages//31/arhi_electabuzz_ver01/sn89051214/1899/05/25/ed-1/seq-1/0?user_id=6","sn89051214",1899,5,25,"ed-1","Mena,  Ark",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","AR"
"13",43,43,43,42,"1899-08-12","The news & observer","Raleigh","N.C","https://articleextractor.org/pages//42/ncu_griffin_ver01/sn85042104/1899/08/12/ed-1/seq-2/0?user_id=6","sn85042104",1899,8,12,"ed-1","Raleigh,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"14",46,46,46,45,"1898-12-15","The gold leaf","Henderson","N.C","https://articleextractor.org/pages//45/ncu_haw_ver01/sn91068402/1898/12/15/ed-1/seq-3/0?user_id=6","sn91068402",1898,12,15,"ed-1","Henderson,  N.C",0,"2023-08-10 14:32:39",0,1,0,0,9,"Generic User 3","NC"
"15",58,58,58,57,"1899-11-11","The Grenada sentinel","Grenada","Miss","https://articleextractor.org/pages//57/msar_eyelet_ver02/sn85034375/1899/11/11/ed-1/seq-2/0?user_id=6","sn85034375",1899,11,11,"ed-1","Grenada,  Miss",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"16",65,65,65,64,"1899-03-10","The Canton times.","Canton","Miss","https://articleextractor.org/pages//64/msar_lightningbolt_ver03/sn86074075/1899/03/10/ed-1/seq-1/0?user_id=6","sn86074075",1899,3,10,"ed-1","Canton,  Miss",0,"2023-08-10 15:31:58",0,1,0,0,9,"Generic User 3","MS"
"17",71,71,71,70,"1899-05-02","The semi-weekly messenger","Wilmington","N.C","https://articleextractor.org/pages//70/ncu_green_ver01/sn91068367/1899/05/02/ed-1/seq-4/0?user_id=6","sn91068367",1899,5,2,"ed-1","Wilmington,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"18",75,75,75,74,"1899-08-31","The Houston daily post","Houston","Tex","https://articleextractor.org/pages//74/txdn_charlie_ver01/sn86071197/1899/08/31/ed-1/seq-4/0?user_id=6","sn86071197",1899,8,31,"ed-1","Houston,  Tex",0,"2023-08-10 18:13:59",0,1,0,0,9,"Generic User 3","TX"
"19",79,79,79,78,"1900-10-25","The times","Richmond","Va","https://articleextractor.org/pages//78/vi_albion_ver01/sn85034438/1900/10/25/ed-1/seq-4/0?user_id=6","sn85034438",1900,10,25,"ed-1","Richmond,  Va",0,"2023-08-10 18:27:46",0,0,1,0,9,"Generic User 3","VA"
"20",80,80,80,79,"1899-05-16","The Washington weekly post.","Washington","D.C","https://articleextractor.org/pages//79/dlc_echo_ver01/sn87062234/1899/05/16/ed-1/seq-5/0?user_id=6","sn87062234",1899,5,16,"ed-1","Washington,  D.C",0,"2023-08-10 18:30:39",0,1,0,0,9,"Generic User 3","DC"
"21",82,82,82,81,"1900-04-17","The times","Richmond","Va","https://articleextractor.org/pages//81/vi_albion_ver01/sn85034438/1900/04/17/ed-1/seq-1/0?user_id=6","sn85034438",1900,4,17,"ed-1","Richmond,  Va",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","VA"
"22",84,84,84,83,"1899-11-04","The Greenville times","Greenville","Mis","https://articleextractor.org/pages//83/msar_braeburn_ver01/sn85034374/1899/11/04/ed-1/seq-6/0?user_id=6","sn85034374",1899,11,4,"ed-1","Greenville,  Mis",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"23",88,88,88,87,"1900-08-29","Richmond dispatch","Richmond","Va","https://articleextractor.org/pages//87/vi_darwin_ver01/sn85038614/1900/08/29/ed-1/seq-6/0?user_id=6","sn85038614",1900,8,29,"ed-1","Richmond,  Va",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","VA"
"24",89,89,89,88,"1900-12-27","The gold leaf","Henderson","N.C","https://articleextractor.org/pages//88/ncu_haw_ver01/sn91068402/1900/12/27/ed-1/seq-2/0?user_id=6","sn91068402",1900,12,27,"ed-1","Henderson,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"25",92,92,92,91,"1900-09-29","Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//91/vi_eagles_ver01/sn85025007/1900/09/29/ed-1/seq-4/0?user_id=6","sn85025007",1900,9,29,"ed-1","Alexandria,  D.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","DC"
"26",104,104,104,103,"1900-10-18","Fisherman & farmer","Edenton","N.C","https://articleextractor.org/pages//103/ncu_elk_ver01/sn91068084/1900/10/18/ed-1/seq-1/0?user_id=6","sn91068084",1900,10,18,"ed-1","Edenton,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"27",108,108,108,107,"1899-06-06","The Brunswick times","Brunswick","Ga","https://articleextractor.org/pages//107/gu_inspector_ver01/sn90052410/1899/06/06/ed-1/seq-4/0?user_id=6","sn90052410",1899,6,6,"ed-1","Brunswick,  Ga",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","GA"
"28",109,109,109,108,"1909-11-05","Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//108/vi_greenday_ver01/sn85025007/1909/11/05/ed-1/seq-2/0?user_id=6","sn85025007",1909,11,5,"ed-1","Alexandria,  D.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","DC"
"29",110,110,110,109,"1909-06-07","The Ocala evening star","Ocala","Fla","https://articleextractor.org/pages//109/fu_fifteen_ver01/sn84027621/1909/06/07/ed-1/seq-2/0?user_id=6","sn84027621",1909,6,7,"ed-1","Ocala,  Fla",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","FL"
"30",114,114,114,113,"1909-04-06","Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//113/vi_greenday_ver01/sn85025007/1909/04/06/ed-1/seq-2/0?user_id=6","sn85025007",1909,4,6,"ed-1","Alexandria,  D.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","DC"
"31",115,115,115,114,"1909-02-10","The Birmingham age-herald","Birmingham","Ala","https://articleextractor.org/pages//114/au_flagg_ver01/sn85038485/1909/02/10/ed-1/seq-1/0?user_id=6","sn85038485",1909,2,10,"ed-1","Birmingham,  Ala",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","AL"
"32",121,121,121,120,"1900-06-14","Warren sheaf","Warren","Marshal","https://articleextractor.org/pages//120/mnhi_orr_ver01/sn90059228/1900/06/14/ed-1/seq-2/0?user_id=6","sn90059228",1900,6,14,"ed-1","Warren,  Marshal",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","MS"
"33",124,124,124,123,"1900-03-29","The news & observer","Raleigh","N.C","https://articleextractor.org/pages//123/ncu_griffin_ver01/sn85042104/1900/03/29/ed-1/seq-4/0?user_id=6","sn85042104",1900,3,29,"ed-1","Raleigh,  N.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","NC"
"34",125,125,125,124,"1912-03-26","Alexandria gazette","Alexandria","D.C","https://articleextractor.org/pages//124/vi_isogawa_ver01/sn85025007/1912/03/26/ed-1/seq-3/0?user_id=6","sn85025007",1912,3,26,"ed-1","Alexandria,  D.C",0,"2023-01-23 21:02:58",1,0,0,0,0,"null","DC"
"35",126,126,126,125,"1912-11-14","The times dispatch","Richmond","Va","https://articleextractor.org/pages//125/vi_gray_ver01/sn85038615/1912/11/14/ed-1/seq-2/0?user_id=6","sn85038615",1912,11,14,"ed-1","Richmond,  Va",0,"2023-08-10 20:52:29",0,0,1,0,9,"Generic User 3","VA"
"36",133,133,133,132,"1909-06-10","The Caucasian.","Clinton","N.C","https://articleextractor.org/pages//132/ncu_haw_ver01/sn91068245/1909/06/10/ed-1/seq-2/0?user_id=6","sn91068245",1909,6,10,"ed-1","Clinton,  N.C",0,"2023-08-10 21:05:23",0,1,0,0,9,"Generic User 3","NC"
