word1,word2,n,decade
NA,NA,949,1850
lynch,law,243,1850
san,francisco,46,1850
st,louis,26,1850
rio,grande,13,1850
court,house,12,1850
days,ago,11,1850
grande,city,11,1850
excitement,prevailed,10,1850
judge,lynch,10,1850
4,o'clock,9,1850
county,va,9,1850
de,bar,9,1850
death,penalty,9,1850
st,paul,9,1850
el,paso,8,1850
mob,violence,8,1850
san,antonio,8,1850
short,time,8,1850
splendid,assortment,8,1850
escaped,hanging,7,1850
found,guilty,7,1850
governor,robinson,7,1850
grand,jury,7,1850
june,15,7,1850
prentiss,hopkins,7,1850
vigilance,committee,7,1850
wall,papers,7,1850
27th,ult,6,1850
hundred,persons,6,1850
prefer,dissolution,6,1850
richard,joyce,6,1850
san,juan,6,1850
saturday,night,6,1850
yesterday,morning,6,1850
15,prentiss,5,1850
30th,ult,5,1850
capt,baylis,5,1850
circuit,court,5,1850
daniel,webster,5,1850
dr,thompson,5,1850
free,negro,5,1850
harbor,creek,5,1850
iowa,city,5,1850
killed,sixteen,5,1850
le,sueur,5,1850
louis,democrat,5,1850
lynch,court,5,1850
mh,29,5,1850
negro,boy,5,1850
police,officer,5,1850
san,diego,5,1850
sueur,county,5,1850
thousand,dollars,5,1850
white,woman,5,1850
wives,living,5,1850
wm,joyce,5,1850
11,o'clock,4,1850
22d,ult,4,1850
24th,ult,4,1850
28th,ult,4,1850
9th,inst,4,1850
aug,12,4,1850
border,ruffians,4,1850
boundary,commission,4,1850
bryan's,pulmonio,4,1850
capital,punishment,4,1850
caroline,county,4,1850
charge,arose,4,1850
coles,county,4,1850
columbus,aug,4,1850
county,jail,4,1850
deserved,death,4,1850
desperado,named,4,1850
disgraceful,affair,4,1850
district,court,4,1850
empire,city,4,1850
encountered,richard,4,1850
erie,railroad,4,1850
fair,trial,4,1850
fifteen,persons,4,1850
found,lying,4,1850
fugitive,slave,4,1850
gold,dust,4,1850
hundred,strong,4,1850
jail,awaiting,4,1850
joyce,family,4,1850
joyce,returned,4,1850
leaving,port,4,1850
lexington,le,4,1850
lynch,lawa,4,1850
main,street,4,1850
mob,endeavored,4,1850
mob,hung,4,1850
mob,law,4,1850
named,bill,4,1850
northern,light,4,1850
persons,assembled,4,1850
public,life,4,1850
railroad,disturbance,4,1850
returned,californians,4,1850
richly,deserved,4,1850
set,fire,4,1850
thursday,night,4,1850
tuesday,night,4,1850
vigorous,investigation,4,1850
