...1,filename,sentence,file_id2,newspaper_name,newspaper_state,date,year,month,day,page,edition,mod_id,unnamed_0,file_id,article_id,sn,filepath,url2
11209,8530_0.txt,OUTRAGE AND LYNCH LAW IN VIRGINIA.- A,8530_0,"Evening star (Washington, D.C...)",District of Columbia,1880-01-06,1880,1,6,seq-3,ed-1,1,2431,8530,0,sn83045462,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8530_0.txt,https://articleextractor.org/pages/8530/dlc_yorkie_ver01/sn83045462/1880/01/06/ed-1/seq-3/0?user_id=6
142180,87210_0.txt,"LYNCH LAW IN LOUISIANA.- Amite,",87210_0,"Staunton spectator (Staunton, Va.)",Virginia,1880-01-06,1880,1,6,seq-3,ed-1,1,12075,87210,0,sn84024718,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87210_0.txt,https://articleextractor.org/pages/87210/vi_lure_ver01/sn84024718/1880/01/06/ed-1/seq-3/0?user_id=6
144822,87351_0.txt,INTO OFFICE- LYNCH- LAW IN GEORGIA,87351_0,The daily dispatch (Richmond [Va.]),Virginia,1880-01-19,1880,1,19,seq-3,ed-1,1,12040,87351,0,sn84024738,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87351_0.txt,https://articleextractor.org/pages/87351/vi_journey_ver01/sn84024738/1880/01/19/ed-1/seq-3/0?user_id=6
11172,8529_0.txt,"For the sake of the county of Fauquier, of",8529_0,"Alexandria gazette (Alexandria, D.C...)",District of Columbia,1880-01-20,1880,1,20,seq-2,ed-1,1,11971,8529,0,sn85025007,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8529_0.txt,https://articleextractor.org/pages/8529/vi_gabbana_ver01/sn85025007/1880/01/20/ed-1/seq-2/0?user_id=6
142088,87204_0.txt,"Chas. Smith, for arson, was lynched",87204_0,"The Eaton Democrat. (Eaton, Ohio)",Ohio,1880-01-22,1880,1,22,seq-4,ed-1,1,9410,87204,0,sn88077272,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87204_0.txt,https://articleextractor.org/pages/87204/ohi_arnarson_ver01/sn88077272/1880/01/22/ed-1/seq-4/0?user_id=6
143647,87299_0.txt,manufacturing sugar and syrup,87299_0,"The weekly Oskaloosa herald (Oskaloosa, Iowa)",Iowa,1880-01-22,1880,1,22,seq-3,ed-1,1,3035,87299,0,sn84027329,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87299_0.txt,https://articleextractor.org/pages/87299/iahi_celebi_ver01/sn84027329/1880/01/22/ed-1/seq-3/0?user_id=6
22353,8860_0.txt,Lynch Law and Justice.,8860_0,"Montgomery County sentinel (Rockville, Md.)",Maryland,1880-01-30,1880,1,30,seq-3,ed-1,1,5191,8860,0,sn83016209,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8860_0.txt,https://articleextractor.org/pages/8860/mdu_fireweed_ver01/sn83016209/1880/01/30/ed-1/seq-3/0?user_id=6
141296,87170_0.txt,Lynoh Law in New Mexico- Three Oow,87170_0,"The New Orleans daily Democrat (New Orleans, La...)",Louisiana,1880-02-10,1880,2,10,seq-1,ed-1,1,5103,87170,0,sn83026413,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87170_0.txt,https://articleextractor.org/pages/87170/lu_omahoney_ver01/sn83026413/1880/02/10/ed-1/seq-1/0?user_id=6
142995,87264_0.txt,THE LYNCHING OF KINDER -The lynching,87264_0,"The farmer and mechanic (Raleigh, N.C.) 1877-1885",North Carolina,1880-03-18,1880,3,18,seq-1,ed-1,1,8089,87264,0,sn85042098,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87264_0.txt,https://articleextractor.org/pages/87264/ncu_grandfather_ver01/sn85042098/1880/03/18/ed-1/seq-1/0?user_id=6
11374,8536_0.txt,THE SOUTH.,8536_0,Morning journal and courier (New Haven [Conn...),Connecticut,1880-03-23,1880,3,23,seq-3,ed-1,1,1459,8536,0,sn82015483,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8536_0.txt,https://articleextractor.org/pages/8536/ct_elm_ver01/sn82015483/1880/03/23/ed-1/seq-3/0?user_id=6
141930,87198_0.txt,LYNCH- LAW IN PAGE.,87198_0,"Staunton spectator (Staunton, Va.)",Virginia,1880-03-23,1880,3,23,seq-3,ed-1,1,12076,87198,0,sn84024718,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87198_0.txt,https://articleextractor.org/pages/87198/vi_lure_ver01/sn84024718/1880/03/23/ed-1/seq-3/0?user_id=6
46379,14697_0.txt,"H. S. Smith, Grand Rapids; M. The President nominated",14697_0,"The Kenosha telegraph (Kenosha, Wis.)",Wisconsin,1880-03-25,1880,3,25,seq-6,ed-1,1,13105,14697,0,sn85033123,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14697_0.txt,https://articleextractor.org/pages/14697/whi_engledinger_ver02/sn85033123/1880/03/25/ed-1/seq-6/0?user_id=6
141876,87193_0.txt,Rep,87193_0,"The Stark County Democrat (Canton, Ohio)",Ohio,1880-03-25,1880,3,25,seq-1,ed-1,1,9862,87193,0,sn84028490,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87193_0.txt,https://articleextractor.org/pages/87193/ohi_jaques_ver01/sn84028490/1880/03/25/ed-1/seq-1/0?user_id=6
141889,87193_1.txt,CONFLICT FIERCE AND FATAL A,87193_1,"The Stark County Democrat (Canton, Ohio)",Ohio,1880-03-25,1880,3,25,seq-1,ed-1,1,9864,87193,1,sn84028490,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87193_1.txt,https://articleextractor.org/pages/87193/ohi_jaques_ver01/sn84028490/1880/03/25/ed-1/seq-1/0?user_id=6
142010,87201_0.txt,by that he was,87201_0,"Northern Ohio journal (Painesville, Oh...)",Ohio,1880-03-27,1880,3,27,seq-1,ed-1,1,9977,87201,0,sn84028194,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87201_0.txt,https://articleextractor.org/pages/87201/ohi_norgay_ver01/sn84028194/1880/03/27/ed-1/seq-1/0?user_id=6
142038,87201_1.txt,and wife for the ransom of Colonel cause such a,87201_1,"Northern Ohio journal (Painesville, Oh...)",Ohio,1880-03-27,1880,3,27,seq-1,ed-1,1,9978,87201,1,sn84028194,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87201_1.txt,https://articleextractor.org/pages/87201/ohi_norgay_ver01/sn84028194/1880/03/27/ed-1/seq-1/0?user_id=6
141827,87189_0.txt,Ben Johnson a negro was lynched,87189_0,"The south Kentuckian (Hopkinsville, K...)",Kentucky,1880-04-06,1880,4,6,seq-2,ed-1,1,4756,87189,0,sn86069392,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87189_0.txt,https://articleextractor.org/pages/87189/kyu_egret_ver01/sn86069392/1880/04/06/ed-1/seq-2/0?user_id=6
141322,87173_0.txt,A New Way.,87173_0,"The Eaton Democrat. (Eaton, Ohio)",Ohio,1880-04-08,1880,4,8,seq-4,ed-1,1,9412,87173,0,sn88077272,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87173_0.txt,https://articleextractor.org/pages/87173/ohi_arnarson_ver01/sn88077272/1880/04/08/ed-1/seq-4/0?user_id=6
141330,87173_1.txt,Near Winchester Ky a named Ben,87173_1,"The Eaton Democrat. (Eaton, Ohio)",Ohio,1880-04-08,1880,4,8,seq-4,ed-1,1,9414,87173,1,sn88077272,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87173_1.txt,https://articleextractor.org/pages/87173/ohi_arnarson_ver01/sn88077272/1880/04/08/ed-1/seq-4/0?user_id=6
98089,19459_0.txt,THREATS OF LYNCH LAW.,19459_0,New-York tribune (New York [N.Y.]),New York,1880-04-25,1880,4,25,seq-1,ed-1,1,1946,19459,0,sn83030214,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/19459_0.txt,https://articleextractor.org/pages/19459/dlc_avanti_ver01/sn83030214/1880/04/25/ed-1/seq-1/0?user_id=6
143604,87298_0.txt,THOMAS O. THURSTON who shot and,87298_0,"The Iola register (Iola, Allen Cou...)",Kansas,1880-06-04,1880,6,4,seq-6,ed-1,1,4152,87298,0,sn83040340,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87298_0.txt,https://articleextractor.org/pages/87298/khi_dole_ver01/sn83040340/1880/06/04/ed-1/seq-6/0?user_id=6
143629,87298_1.txt,"AT Texarkana, Ark., on the night of",87298_1,"The Iola register (Iola, Allen Cou...)",Kansas,1880-06-04,1880,6,4,seq-6,ed-1,1,4153,87298,1,sn83040340,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87298_1.txt,https://articleextractor.org/pages/87298/khi_dole_ver01/sn83040340/1880/06/04/ed-1/seq-6/0?user_id=6
141860,87191_0.txt,A COLORED man in the Jail at Mor,87191_0,"The Jasper weekly courier (Jasper, Ind.)",Indiana,1880-07-16,1880,7,16,seq-2,ed-1,1,3419,87191,0,sn84023963,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87191_0.txt,https://articleextractor.org/pages/87191/in_abraham_ver02/sn84023963/1880/07/16/ed-1/seq-2/0?user_id=6
141773,87187_0.txt,An Outlaw Saved from a Mob.,87187_0,The sun (New York [N.Y.]) 1833-1916,New York,1880-07-23,1880,7,23,seq-1,ed-1,1,9085,87187,0,sn83030272,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87187_0.txt,https://articleextractor.org/pages/87187/nn_cummings_ver01/sn83030272/1880/07/23/ed-1/seq-1/0?user_id=6
