...1,filename,sentence,file_id2,newspaper_name,newspaper_state,date,year,month,day,page,edition,mod_id,unnamed_0,file_id,article_id,sn,url,filepath
16382,8700_0.txt,NEXT SUNDAY- The Camera,8700_0,"The St. Louis Republic (St. Louis, Mo.)",Missouri,1900-01-03,1900,1,3,seq-7,ed-1,1,6525,8700,0,sn84020274,https://articleextractor.org/pages/8700/mohi_gaines_ver01/sn84020274/1/3/ed-1/seq-7/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8700_0.txt
44582,14636_0.txt,"Martin Durham and W. D. Turner,",14636_0,"The Manitowoc pilot (Manitowoc, Wis.)",Wisconsin,1900-01-11,1900,1,11,seq-10,ed-1,1,13199,14636,0,sn85033139,https://articleextractor.org/pages/14636/whi_harriet_ver01/sn85033139/1/11/ed-1/seq-10/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14636_0.txt
44586,14636_1.txt,Geronimo Parra and,14636_1,"The Manitowoc pilot (Manitowoc, Wis.)",Wisconsin,1900-01-11,1900,1,11,seq-10,ed-1,1,13200,14636,1,sn85033139,https://articleextractor.org/pages/14636/whi_harriet_ver01/sn85033139/1/11/ed-1/seq-10/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14636_1.txt
44589,14636_2.txt,"Charley Wilson and Zack Singleton,",14636_2,"The Manitowoc pilot (Manitowoc, Wis.)",Wisconsin,1900-01-11,1900,1,11,seq-10,ed-1,1,13201,14636,2,sn85033139,https://articleextractor.org/pages/14636/whi_harriet_ver01/sn85033139/1/11/ed-1/seq-10/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14636_2.txt
44592,14636_3.txt,"A murder trial at Otter Creek, Ky.,",14636_3,"The Manitowoc pilot (Manitowoc, Wis.)",Wisconsin,1900-01-11,1900,1,11,seq-10,ed-1,1,13202,14636,3,sn85033139,https://articleextractor.org/pages/14636/whi_harriet_ver01/sn85033139/1/11/ed-1/seq-10/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14636_3.txt
44595,14636_4.txt,"Go See, a Chinese murderer, con",14636_4,"The Manitowoc pilot (Manitowoc, Wis.)",Wisconsin,1900-01-11,1900,1,11,seq-10,ed-1,1,13203,14636,4,sn85033139,https://articleextractor.org/pages/14636/whi_harriet_ver01/sn85033139/1/11/ed-1/seq-10/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14636_4.txt
77621,18380_0.txt,( Special to The Messenger.),18380_0,"The semi-weekly messenger (Wilmington, N.C...)",North Carolina,1900-01-12,1900,1,12,seq-6,ed-1,1,8107,18380,0,sn91068367,https://articleextractor.org/pages/18380/ncu_green_ver01/sn91068367/1/12/ed-1/seq-6/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/18380_0.txt
23324,8877_0.txt,STATISTICS. LYNCHING,8877_0,The San Francisco call (San Francisco [...),California,1900-01-17,1900,1,17,seq-6,ed-1,1,1566,8877,0,sn85066387,https://articleextractor.org/pages/8877/curiv_albion_ver01/sn85066387/1/17/ed-1/seq-6/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8877_0.txt
3360,8288_0.txt,TWO MEN LYNCHED IN KANSAS.,8288_0,NA,Michigan,1900-01-26,1900,1,26,seq-11,ed-1,1,5393,8288,0,sn98066406,https://articleextractor.org/pages/8288/mimtptc_baldwin_ver01/sn98066406/1/26/ed-1/seq-11/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/8288_0.txt
76965,18343_0.txt,"train at Evanston, Ill.",18343_0,"Potosi journal. (Potosi, Mo.)",Missouri,1900-01-31,1900,1,31,seq-2,ed-1,2,6754,18343,0,sn90061371,https://articleextractor.org/pages/18343/mohi_marmaduke_ver02/sn90061371/1/31/ed-1/seq-2/2,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/18343_0.txt
78381,18422_0.txt,"Harland Whittaker, of Butler county,",18422_0,"Ottumwa semi-weekly courier (Ottumwa, Iowa)",Iowa,1900-02-01,1900,2,1,seq-6,ed-1,1,3285,18422,0,sn86061214,https://articleextractor.org/pages/18422/iahi_isbell_ver01/sn86061214/2/1/ed-1/seq-6/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/18422_0.txt
