docname,from,to,pre,keyword,post,pattern,...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath
13741_0.txt,12,12,lynched . kentucky negro prisoner accused of attempting to en ter,girl's,"room . elkton , ky . , oct . 13 . - shortly after midnight a mob of 1,000 ,",girl,2880,13741,0,sn99062034,"The Madison daily leader (Madison, S.D.)",1905,10,13,seq-1,ed-1,1,http://localhost:62222/pages/13741/sdhi_grenada_ver01/sn99062034/1905/10/13/ed-1/seq-1/1,South Dakota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13741_0.txt
13741_0.txt,74,74,him in a nearby wood . leavell was arrested on the charge of attempting to enter the room of a,lady,at trenton last saturday young night . he confessed .,lady,2880,13741,0,sn99062034,"The Madison daily leader (Madison, S.D.)",1905,10,13,seq-1,ed-1,1,http://localhost:62222/pages/13741/sdhi_grenada_ver01/sn99062034/1905/10/13/ed-1/seq-1/1,South Dakota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13741_0.txt
13747_0.txt,102,102,a tree after which many shots were his body he was charged fired into . with assault upon a white,woman,". this was the second attempt in two strauss , the first one days to lynch sunday night having resulted",woman,822,13747,0,sn95026788,"Live Oak daily Democrat. (Live Oak, Fla.)",1907,4,17,seq-1,ed-1,1,http://localhost:62222/pages/13747/fu_seven_ver02/sn95026788/1907/04/17/ed-1/seq-1/1,Florida,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13747_0.txt
13749_0.txt,45,45,"from a farm near pintta , florida late today and shot to death . he was accused of insulting white",girl,a,girl,3124,13749,0,sn86063730,"Brownsville herald (Brownsville, Te...)",1921,10,2,seq-2,ed-1,1,http://localhost:62222/pages/13749/txdn_burnett_ver01/sn86063730/1921/10/02/ed-1/seq-2/1,Texas,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13749_0.txt
13752_0.txt,60,60,"against some of them . he was shot deliberately in the day time , and then his brother . the",wife,and children escaped . an other brother had on the governor for aid to arrest them . called,wife,756,13752,0,sn83030313,The New York herald (New York [N.Y.]),1843,5,14,seq-2,ed-1,1,http://localhost:62222/pages/13752/dlc_kudzu_ver01/sn83030313/1843/05/14/ed-1/seq-2/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13752_0.txt
13754_0.txt,287,287,", and repelling their advances shot his retreat and killed two of the party- james langdon , who loaves a",wife,"and a child , and a mr . troop , both of middle age ; and then be ing sensible",wife,1518,13754,0,sn85033637,"The Hillsdale standard (Hillsdale, Mich...)",1854,3,28,seq-2,ed-1,1,http://localhost:62222/pages/13754/mimtptc_beulah_ver01/sn85033637/1854/03/28/ed-1/seq-2/1,Michigan,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13754_0.txt
13754_0.txt,425,425,ted to remove it . mr . c . was a man about 60 years of age and leaves a,wife,"and large fami ly . thus within one year have four lives been sacrificed , all for the paltry item",wife,1518,13754,0,sn85033637,"The Hillsdale standard (Hillsdale, Mich...)",1854,3,28,seq-2,ed-1,1,http://localhost:62222/pages/13754/mimtptc_beulah_ver01/sn85033637/1854/03/28/ed-1/seq-2/1,Michigan,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13754_0.txt
13759_0.txt,8,8,iiis sereame were soon heard by his,wife,", who immediately started to the place whence they prot ceeded , and came up with the party before they",wife,2547,13759,0,sn83035487,"Anti-slavery bugle (New-Lisbon, Ohi...)",1858,7,17,seq-1,ed-1,1,http://localhost:62222/pages/13759/ohi_ariel_ver02/sn83035487/1858/07/17/ed-1/seq-1/1,Ohio,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13759_0.txt
13769_0.txt,10,10,a negro lynched at newburg for violating an irish,girl-,the newburg papers state that on sunday last a terrible riot occurred in that city caused by the violation of,girl,650,13769,0,sn85026213,Sunday dispatch (New York [N.Y.]) 1861-1863,1863,6,28,seq-6,ed-1,1,http://localhost:62222/pages/13769/dlc_dunbar_ver01/sn85026213/1863/06/28/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13769_0.txt
13769_0.txt,36,36,on sunday last a terrible riot occurred in that city caused by the violation of the person of an irish,girl,"named clark , by a negro named mulliner . who it is charged- decoyed his victim into the woods and",girl,650,13769,0,sn85026213,Sunday dispatch (New York [N.Y.]) 1861-1863,1863,6,28,seq-6,ed-1,1,http://localhost:62222/pages/13769/dlc_dunbar_ver01/sn85026213/1863/06/28/ed-1/seq-6/1,New York,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13769_0.txt
